,original_situation,emotion,cause_span,start_index,end_index,emotion_label
1862,i bought a lottery ticket and did not win anything,__disappointed__,lottery ticket and did not win,4,9,11
1552,i picked up a 2nd job last year and today made my last student loan payment,__grateful__,job last year and today made my last student loan payment,6,16,17
1246,i was surprised when my parents threw me a big party,__surprised__,party,11,11,29
731,going to an amusement park.,__excited__,amusement park,4,5,14
31,i am about to take a cross country flight. i always get mildly nervous when flying.,__anxious__,cross country flight,7,9,4
590,"it was really hard on my family when katrina hit texas, our house and belongings got kind of affected by it",__devastated__,"family when katrina hit texas, our house and belongings got kind of affected",7,24,10
2417,"i need to use my car to drive somewhere.  when i walked over, i saw that it had been hit",__surprised__,"car to drive somewhere. when i walked over, i saw that it had been hit",6,22,29
2284,yesterday i left my luggage behind for a stranger to look for it.,__trusting__,left my luggage behind for a stranger,3,9,31
2052,my car has been having problems.  i'm worried it won't make it in the future,__apprehensive__,problems,6,6,5
1712,i can recall a lot of good times taking vacations with the family going to fun places like virginia and to pennsylvania when i was a kid,__nostalgic__,vacations,10,11,24
2428,"i ate too many macadamia nuts the other day, i don't feel sorry, too much.",__guilty__,ate too many macadamia nuts,2,8,18
504,i was looking at old photos of my family. it made me feel sad and nostalgic about the past.,__sentimental__,old photos,5,6,28
1793,moving scares me!,__terrified__,moving,1,1,30
3142,an hour ago i was so happy that the wi-fi finally started working again.,__grateful__,working,16,16,17
1050,i just got a new car and i love it! my old car was a piece of crap.,__excited__,got a new car,3,6,14
2538,i trusted my boss to look out for my best interests and she didn't.,__trusting__,boss to look out for my best interests,4,11,31
1604,"one time when using the public restroom, i had toilet paper handing from my shoe",__embarrassed__,toilet paper handing from my shoe,12,17,13
3036,i met a girl i hadn't seen in awhile.  we ended up going out on a date,__nostalgic__,met a girl i hadn't seen in awhile,2,11,24
2155,a friend of mine bought a new car.  it was a model i had my eye on for some time,__jealous__,new car,7,8,21
619,i went to the fridge looking for my last piece of chocolate i was saving and it was gone! ,__disappointed__,chocolate i was saving and it was gone,12,19,11
1266,my brother is getting really good at bowling. i am shocked at his skill.,__surprised__,good at bowling. i am shocked at his skill,6,15,29
1442,i had a bad nightmare last night.,__afraid__,bad nightmare,4,5,0
3306,i was upset when i did not do well on a test.,__sad__,not do well,7,9,27
1326,i hadn't been able to visit my grandmother in a while b/c she lives really far away.  well i finally went after not being there in forever and it was exactly as i remembered it as a child.  it created some great memories for me  ,__nostalgic__,visit my grandmother in a while b/c she lives really far away. well i finally went after not being there in forever and it was exactly as i remembered it as a child. it created some great memories,8,49,24
862,"well, i've finally found my perfect restaurant/grocery store. i stopped by the other day and bought some food and couldn't have been more pleased with everything there!",__content__,perfect restaurant/grocery,9,12,9
3290,my nephew is learning how to drive and asked to use my car to take the driving test this weekend. ,__trusting__,learning how to drive,4,7,31
3331,i'm starting university in two days and i'm kind of stressed,__anxious__,starting,4,4,4
1700,i met a guy that had recently purchased an excursion.  i want one of those vehicles!,__jealous__,recently purchased an excursion,7,11,21
2465,rainy day spent at home,__lonely__,rainy day spent,1,3,23
3406,"school is starting back up soon, i can't wait to see all my friends again!",__excited__,starting,3,3,14
200,i bought a new tv. the colors are so vibrant and it is so sharp! ,__impressed__,tv. the colors are so vibrant and it is so sharp,5,17,20
1616,"after moving to dallas from a small town i felt i would like it, but after a few weeks of not knowing anyone i got home sick. ",__lonely__,"moving to dallas from a small town i felt i would like it, but after a few weeks of not knowing anyone",2,25,23
2925,i felt really nervous when cops pulled me over last week. i thought i was in trouble,__anxious__,cops pulled me over last week. i thought i was in trouble,6,18,4
1451,my wife is getting back from a trip to germany for 2 months in like a week.  i'm super happy and can't wait to see her!,__excited__,wife is getting back,2,5,14
1988,im envious of everyone who is outside enjoying the sun right now,__jealous__,outside enjoying,8,9,21
1236,one of my friends managed to pay off their first house at the age of 25. ,__impressed__,house,11,11,20
553,"i waas really happy after finishing my service in the military, it makes me feel so proud to think i fought for my country",__proud__,"service in the military, it makes me feel so proud to think i fought for my country",9,26,26
3605,"leaving the bar the other day with my boyfriend, i totally tripped and fell on the step just outside the door and scraped my knee. so humiliating.",__embarrassed__,tripped and fell,13,15,13
222,one time my dog got run over by a car. he had been playing outside with my brother and his friends.,__devastated__,dog got run,4,6,10
1920,i decided to go back to school for a career change after working at my job for 12 years. i didn't know if i was making a good decision.,__apprehensive__,back to school for a career change,5,11,5
2418,i felt so happy seeing my high school friends last month. we were at our reunion,__joyful__,seeing my high school friends,5,9,22
3658," i let my little sister go into my wallet and grab my credit card so she can order something online for herself. she told me what it was in advance, i approved it, and i knew she wouldn't steal from me. she's so trustworthy.",__trusting__,little sister go into my wallet and grab my credit card,4,14,31
2333,the first tornado in oklahoma,__terrified__,first tornado,2,3,30
3646,angry at myself for not waking up on time,__furious__,waking up on time,6,9,16
1970,my cousin just had his mom cosign on my dream car! he doesn't even have a job,__jealous__,cousin just had his mom cosign on my dream car,2,12,21
2432,"i work in the oilfield a a field geologist.  my work requires me to be away from my family for days, and sometimes weeks at a time.  i feel very isolated and miss home.",__lonely__,away from my family for days,18,23,23
2237,"i was really apprehensive when i went to university at the age of 30. i was scared that i wouldn't be able to connect with the younger students, and that i wouldn't be smart enough to do well. i was also unsure if it would advance my career.",__apprehensive__,went to university at the age of 30,10,17,5
1432,"even though i could've gotten more money at another job, i've stayed with my current employer. it is a good place to work.",__faithful__,stayed with my current employer,17,21,15
2693,my bus broke down and i was late for work,__annoyed__,bus broke down and i was late,2,8,2
3619,i feel so bad that i forgot again to fill the gas tank up in the car again after i used it all. my friend is going to kill me!,__ashamed__,forgot,7,7,6
1894,when my ex boyfriend of over 4 years suddenly just up and left me for another woman i didnt know what to do with myself.  i was so used to doing everything with him all the time and it was really hard for me.,__lonely__,ex boyfriend of over 4 years suddenly just up and left me for another woman,3,17,23
1017,"my sister is so caring, she took care of me when i was sick",__caring__,care of me when i was sick,9,15,7
1882,"i was trying to buy a piece of property that had came up on the market, but someone put in a offer quicker than i did and it was sold already.",__disappointed__,"buy a piece of property that had came up on the market, but someone put in a offer quicker than i did and it was sold",5,31,11
3718,my girlfriend's cat is sick with cancer. i don't think she's going to make it for much longer and i'm really shaken up by it.,__sad__,cat is sick with cancer,5,9,27
1070,"i went to a play recently that took place around a pool. it was an adaptation of ""the last unicorn"" with parts of performed in the water and parts of it performed on a giant trapeze. it was magical! ",__joyful__,play recently that took place around a pool,5,12,22
2199,i was grossed out when i saw someone vomit outside a bar.,__disgusted__,vomit,9,9,12
168,"i hate going near hights they make me terrified, as soon as i look down and see the bottom i get so scared",__afraid__,"hights they make me terrified, as soon as i look down and see the bottom",5,21,0
2771,i am really happy about the weather today,__joyful__,weather today,7,8,22
3334,i was playing a vr game home alone.  it took a really creepy turn.,__afraid__,creepy,15,15,0
1698,"in high school, i fell down the stairs in front of my crush. i was really embarrassed.",__embarrassed__,fell down the stairs in front of my crush,6,14,13
3215,one time there was a homeless guy running towards my car,__afraid__,running towards,8,9,0
2863,i had recently applied for my masters in computer sciences in very prestigious unviversities,__joyful__,applied for my masters in computer sciences in very prestigious unviversities,4,17,22
1664,i always help my daughter study for her college exams it makes me so pleased to be such a big help.,__content__,daughter study,5,6,9
3272,i destroyed my laptop the other day,__devastated__,destroyed my laptop,2,4,10
1844,i'm going camping this weekend. i'm going to make sure that i have all of the supplies that i need.,__prepared__,camping this weekend. i'm going to make sure that i have all of the supplies,5,22,25
998,we are going on vacation next week and we can't bring our dog. i feel so bad that we have to board her in at a kennel. she's going to be so sad,__guilty__,vacation next week and we can't bring our dog,5,15,18
1577,"my neighbor's dogs started barking early this morning. they woke me up, which i'm not happy about.",__angry__,barking early this morning,7,10,1
1365,i have been sick the last week and my wife has made my chicken broth soup every day!,__caring__,wife has made my chicken broth soup,10,17,7
2021,proud of my wife and me,__proud__,wife,4,4,26
3576,i had a septic tank issue and called a guy that i found a business card from and had him come out. he didn't have hardly any equipment with him and sounded like he didn't know what to do. ,__apprehensive__,hardly any equipment,30,32,5
2882,i did not get the job that i wanted. i'm upset,__disappointed__,get the job,4,6,11
733,i have amazing friends. one of them drove me to the airport,__grateful__,amazing friends,3,4,17
3195,my son wouldnt go to sleep last night.  he kept yelling that he didnt want to sleep and wouldnt go into his room,__angry__,son wouldnt go to sleep last night. he kept yelling,2,13,1
3670,old images from the past wall,__sentimental__,images from the past,2,5,28
247,i get jealous when i see my friends earning more money then myself.,__jealous__,friends earning more money,8,11,21
379,i am trying a new diet to treat my lupus.  i really am hoping it works b/c the next steps are some powerful meds that really make me nervous to take,__afraid__,hoping it works b/c the next steps are some powerful meds,17,30,0
2573,i don't like it when people talk with their mouth full of food.,__disgusted__,people talk with their mouth full of food,8,15,12
280,my friend bought me lunch,__grateful__,friend bought me lunch,2,5,17
1526,when the cat had string stuck on it i felt the need to help,__caring__,cat had string stuck,3,6,7
245,i work with a programming wizard. i recently asked for his help with a hard problem and i just sat back and watched him work. i didnt even understand what he was talking about.,__impressed__,programming wizard,5,6,20
204,a guy cut in front of some people in a line at a store and i confronted him.  he flipped me off and we exchanged very heated words.  the confrontation almost got physically but finally he left.,__furious__,heated words. the confrontation almost got physically,28,35,16
957,i drove 4 hours to hang out with my family on a trip and we spent a total of about 2 hours together over 2 days. i wish i had just stayed home.,__furious__,2 hours together,21,23,16
2182,i am really nervous about my upcoming job interview. i am concerned i might screw it up,__anxious__,job interview,8,9,4
2901,i was diagnosed with stage 4 cancer.,__devastated__,cancer,7,7,10
1165,i went on a hike in the mountains of la by myself at night.,__terrified__,hike in the mountains of la by myself at night,5,14,30
378,"we were over at our friend's house for a dinner and i was in the kitchen helping her cook. i had melted butter in a baking dish to make dessert, and i poured cold milk into it like the recipe said to do. it ended up cracking the dish. i felt bad. i offered to buy her a new one.",__guilty__,cracking,52,52,18
2576,i was on date last weekend and got bad gas.,__ashamed__,date last weekend and got bad gas,4,10,6
2968,i love reading old letters from family members,__nostalgic__,old letters from family,4,7,24
2897,i heard one of my grandmothers favorite artists playing on the radio on the way home and it made me think of our car rides together.,__sentimental__,grandmothers favorite artists playing on the radio,6,13,28
2391,i have been married for almost ten years. it takes a lot to stay in a marriage that long.,__faithful__,married,4,4,15
3175,my buddy drank way too much at a party and puked all over my favorite jacket. i felt so sick i thought it was going to be my turn next.,__disgusted__,puked,11,12,12
2827,yesterday i ate a whole pizza by myself.,__impressed__,pizza,6,6,20
2641,"i have a tendency to be praticular about my stuff, so it was culture shock when my girlfriend moved in with me. she started moving and rearranging my things. i was very apprehensive at first.",__apprehensive__,girlfriend moved in with me. she started moving and rearranging,21,33,5
1905,trusting my guts,__trusting__,guts,3,3,31
1366,"i was impressed the other day, my mother in law is working hard on her weigh goal. she has managed to lose 10 lbs and walks her 3 miles every day.",__proud__,working hard on her weigh goal. she has managed to lose,13,24,26
2300,i finally purchased the house of my dreams.,__proud__,purchased the house,3,5,26
2830,i'm really eager to get off work tonight to see my boyfriend. ,__anticipating__,work tonight to see my boyfriend,9,14,3
3688,i will be moving next week and as i was packing found old pictures from when i was in middle and high school. it made me think of those good times.,__sentimental__,moving next week and as i was packing found old pictures,4,14,28
989,"i'm full of admiration for my best friend. her long-term relationship ended just after her father passed away. instead of disappearing into a bottle or wallowing in despair, she pulled herself together and got herself a new, interesting life!",__proud__,pulled herself together,38,40,26
2795,i just hired four new people to work for me. two all ready quit because the job was just to hard for them.,__disappointed__,two all ready quit,12,15,11
1281,was travelling 14 hours internationally. first flight got delayed and the airline would not apologize and provide altenative,__angry__,flight got delayed and the airline would not apologize,8,16,1
674,i was surprised when my parents threw me a party,__surprised__,party,10,10,29
262,i smashed my finger in the door the other day and i was so upset and mad! ,__angry__,smashed my finger in the door,2,7,1
607,my parents bought my brother a brand new iphone.,__jealous__,parents bought my brother a brand new iphone,2,10,21
2326,laying in the hospital after having a mini stroke and the last visitor of the day says good bye is a very sad time.,__lonely__,hospital after having a mini stroke and the last visitor,4,13,23
2232,once on my way to work i slipped getting off the bus. i just laid there on the ground until the bus drove away. i wanted to hide in a cave forever.,__embarrassed__,slipped getting off the bus,8,12,13
821,we are planing on going on a cruise this december. it has been so fun planning the whole trip out.,__excited__,cruise this december,9,13,14
2360,i was at the grocery store today using self checkout. a man was checking out beside me and he took my receipt!,__angry__,man was checking out beside me and he took my receipt,14,25,1
2008,i was so angry when i saw my brother lighting a firecracker tied to my dog's tail. i have never been that angry in my life.,__furious__,brother lighting a firecracker,9,14,16
52,i was disgusted when i noticed the food on the table,__disgusted__,food on the table,8,11,12
3351,my friend is so shy and today she outshined herself by winning a singing contest at school!,__impressed__,outshined herself by winning a singing contest,9,17,20
447,i really miss my family dog back home i have not seen him in 2 years and really looking forward to seeing how much he has grown,__nostalgic__,family,5,5,24
1483,i learned to two hand bowl yesterday and felt good about it!,__proud__,two hand bowl,4,6,26
2653,"we were visiting my husband's grandma and she asked about the rain hitting us. i thought she meant on the way to see her, but she didn't.",__embarrassed__,rain,15,15,13
3268,"i forgot to pay my credit card bill, i'm so disappointed with myself.",__ashamed__,forgot to pay my credit card bill,2,8,6
2197,"i found a 10 dollar bill in my mailbox this morning! i have no idea who put it there, but it was a nice thing to find.",__surprised__,found a 10 dollar,2,5,29
1003,i was driving to work yesterday and a driver beside opened their door at a stop light and threw up everywhere. it was so nasty i almost threw up.,__disgusted__,threw up everywhere,19,21,12
237,i saw a guy deadlift 700lbs at the gym the other day. i was in awe.,__impressed__,deadlift 700lbs,5,9,20
1462,i am so annoyed that people are so mean to other people,__annoyed__,mean,9,9,2
2114,"i didn't know that my boyfriend was coming home from his trip early, so i was shocked when i came home from work and he was home.",__surprised__,boyfriend was coming home from his trip early,8,15,29
2709,i ate the last piece of pizza and didn't know my husband actually wanted it and i am feeling pretty bad.,__guilty__,ate the last piece of pizza,2,7,18
2312,"i cant believe i got a dui this weekend, i let myself down.",__ashamed__,got a dui,6,9,6
342,"while in college, i received a prestigious award. while it had been available to be awarded for some years, i was the first recipient.",__proud__,prestigious award,8,9,26
2963,"friend lost weight on a diet, i did not",__jealous__,friend lost weight,1,3,21
3076,i was at the store today and i dropped a jar of pasta sauce. it shattered and sauce got all over the floor. ,__embarrassed__,dropped a jar of pasta sauce. it shattered,9,18,13
987,"when my uncle bill told me about how he was planning to desert his military duty and flee to canada, i knew he'd need my support. it was a tough decision for him with a lot of risk, but i was there for him.",__caring__,"uncle bill told me about how he was planning to desert his military duty and flee to canada, i knew he'd need my support",3,30,7
2991,my dog passed away of bone cancer. she was such a special dog. ,__devastated__,dog passed,2,3,10
296,"we were at a wedding a few weeks ago and everyone was having a great time. my 3 year old niece was dancing to the music while eating a carrot and started to choke on the carrot. it was one of the scariest moments ever. she is ok though, someone was able to help her",__terrified__,niece was dancing to the music while eating a carrot and started to choke,22,36,30
2865,we really are lucky to live in the united states.,__grateful__,live in the united states,6,10,17
513,playing hide and seek and i ended up in the bathroom,__embarrassed__,ended up in the bathroom,7,11,13
2037,i barely passed my finals,__disappointed__,barely passed,2,3,11
2463,i was expectant to see my mom after 5years,__anticipating__,mom after 5years,8,12,3
1180,i had a video job interview.,__anxious__,job interview,5,6,4
3672,fell down on the stairs and my pants fell out,__embarrassed__,fell down on the stairs and my pants,1,8,13
1835,"when i went back to my home town and drove to the towns annual fair, it hasn't changed much so it felt like i went back to my childhood.",__nostalgic__,home town and drove to the towns,7,13,24
1936,every time i see my cousin it reminds me of our childhood.,__nostalgic__,see my cousin it reminds me of our childhood,4,12,24
3012,my friend got accepted into harvard university.,__jealous__,accepted into harvard,4,8,21
2773,i had to take a work related placement test.  i think i did extremely well,__confident__,test. i think i did extremely well,9,16,8
2170,"when i look at my kid doing exceedingly well in his academics, i have such a warm sensation in me. i wish he becomes the best",__proud__,kid doing exceedingly well in his academics,6,13,26
178,i have been saving money and now have enough for any emergency.,__prepared__,saving,4,4,25
285,i am very worked up about completing my doctoral thesis and defending it this year.,__excited__,doctoral thesis,9,10,14
1622,i am blessed to have a great family,__proud__,great,7,7,26
1585,i was cleaning out the attic and found a bunch of old photo albums. it was great seeing some of my great past memories.,__nostalgic__,found a bunch of old photo albums,8,14,24
2895,i cant believe i flunked the test i studied all night for.,__surprised__,flunked the test,6,10,29
1943,finance,__afraid__,finance,1,1,0
2681,i helped out a doctor's office that's located within my office tge medical assistant wasn't good at phlebotomy and old comes over and ask me for my help i had no problem helping .. during christmas they dropped off a gift for the providers and myself .. i was totally surprised.,__surprised__,christmas they dropped off a gift,48,55,29
1056,the lottery was over 100 millions dollars and i just had to buy a ticket. i waiting for the numbers to be drawn to see if i won.,__hopeful__,waiting,18,18,19
1026,my brother would've turned 34 today,__devastated__,brother would've turned 34,2,7,10
1163,"when i was a kid, my granpa bought me a dog. the dog was supposed to be a hunting dog, and he didn't want to keep it because i had made it into a pet. he ended up giving it away.",__devastated__,"dog. the dog was supposed to be a hunting dog, and he didn't want to keep it because i had made it into a pet. he ended up giving it away",14,49,10
942,i have a friend coming over soon and i keep checking out the window to see if theyre here yet.,__anticipating__,friend,4,4,3
1487,i am going camping tomorrow. the car is already packed!,__prepared__,packed,11,11,25
744,one time i found my dog's favorite toy. it brought back memories of when she was a puppy,__sentimental__,dog's favorite toy,6,10,28
2077,"we had purchased and raised several chickens. one evening, i forgot to put them back in their coop. something killed all of them.",__sad__,forgot to put them back in their coop. something killed,13,24,27
3409,holidy,__prepared__,holidy,1,3,25
1214,"i let my daughter ride her skateboard in the road by her self the other day. i was still close by watching, but i think she is pretty good at looking out for cars on her own.",__trusting__,daughter ride,4,5,31
2074,i bought a lottery scratch off ticket and won $5000. i was so happy.,__surprised__,5000,11,11,29
3410,i'm grateful for my life.,__content__,grateful for my life,4,7,9
2772,i have everything ready for back to school supplies for my son. i also have his outfit picked out for the first day of school.,__prepared__,everything ready for back to school supplies for my son. i also have his outfit,3,18,25
2599,"the other night my boyfriend and i watched the film ""within"" on netflix and i was pretty scared trying to fall asleep afterwards",__terrified__,film,10,10,30
2615,while at a service station i watched the atttendent leave his inside station to go out and pump gas for a lady. she offered him a tip and he declined it.,__impressed__,atttendent leave his inside station to go out and pump gas for a lady. she offered him a tip and he declined,9,33,20
2782,"i remember feeling not quite right a day ago, but as day progressed i felt better.",__sad__,quite right,5,6,27
1216,it makes me really sad that people dont care about throwing trash on the streets.,__sentimental__,people dont care about throwing trash on the streets,7,16,28
2278,"a situation in which friends organize a birthday party for you when you did not expect them to do so. you walk in a dark room, turn on the light and all your friends jump out and say ""happy birthday"" and present you a cake.  ",__surprised__,friends organize a birthday party,5,9,29
2085,i was very well prepared for my law exam.,__confident__,prepared for my law exam,5,9,8
388,"i have to give a speech at my fathers funeral. i need to make sure the speech goes perfectly, i can't mess up infront of my family.",__caring__,give a speech at my fathers funeral,4,10,7
153,an older woman in a class i took in college stole my ideas for a paper and presented them as her own.,__furious__,woman in a class i took in college stole my ideas for a paper and presented,3,18,16
3224,a couple of days ago there was a man at the gas pump at our local gas station.  he was  was trying to find a way to get himself some gas so he could get home.,__caring__,man at the gas pump,9,13,7
469,"this morning, my dog knocked down a box of cereal and it all dumped unto the floor. as i tried to clean it up, she was trying to eat it, so she almost knocked me down. i was not very happy with her.",__annoyed__,dog knocked down a box of cereal and it all dumped,5,15,2
1663,on my way home today there was someone in the fast lane going so slow in front of me.,__annoyed__,someone in the fast lane going so slow,8,15,2
3107,i love my wife because she's loyal to me and she always takes care of me,__faithful__,loyal to me and she always takes care,9,16,15
3339,my dog just had a baby and i did not even know she was pregnant! what!!,__surprised__,baby and i did not even know she was pregnant,6,15,29
2519,my wife has made me go on a diet. i have been cheating.,__guilty__,cheating,14,14,18
1380,i had just got a 100 dollar haircut and some new clothes and yeezy shoes. i felt on top of the world,__confident__,100 dollar haircut and some new clothes and yeezy shoes,6,18,8
2852,"it's high time i get my self a girlfriend,i feel so bored up.",__lonely__,get my self a girlfriend,7,11,23
154,i am so excited about going to the movies,__excited__,going to the movies,6,9,14
3002,i couldnt stand it when my neighbor was using power tools at 8 am on a saturday,__annoyed__,power tools,11,12,2
3625,one time my mom brought me lunch all the way from her work!,__caring__,brought me lunch,5,7,7
3350,my girlfriend just got promoted at her job. i am really glad for her.,__proud__,promoted,5,5,26
491,"my new puppy keeps pooping in the house. we let him out and he poops outside too, but i'm so tired of stepping in dog poo at 3am!",__annoyed__,puppy keeps pooping,3,7,2
3147,i moved last weekend.  i was really happy once all the boxes were finally moved over and it was all done.,__joyful__,happy,9,9,22
2661,"no matter how much we fought with my siblings, i am ready to be there for them, if they need me.",__caring__,"siblings, i am ready to be there for them, if they need",9,22,7
3749,"i was expecting a surprise birthday party today. my expectations were somewhat true; my brother's friend celebrated not only my birthday party, but two other birthdays today. it was wonderful!",__anticipating__,expecting a surprise birthday party,3,7,3
1175,i just figured out how to consistently generate high quality serves in tennis. my friend has been working with me on the weekends to get the right motion and power down.,__grateful__,high quality serves,9,11,17
1453,i recently went to the pool. i lost my swim trunks and felt awkward!,__embarrassed__,pool. i lost my swim trunks,6,12,13
3220,"my cousin has the perfect life, a loving boyfriend and two beautiful kids. i wish i had that.",__jealous__,"cousin has the perfect life, a loving boyfriend and two beautiful kids",2,14,21
2675,"i went to a restaurant and ordered some pizza.  when i received the pizza, a cockroach crawled across one of the slices",__disgusted__,cockroach crawled across one of the slices,18,26,12
2562,one day my relation is road crossing to them accident.my family is very sad.,__sad__,road crossing to them accident.my,6,12,27
944,"one time i wanted to trick my butler into thinking he had won the lottery. so i taped the previous day's newscast about the winning lottery numbers and bought a ticket with those numbers, gave it to my butler, and watched the previous day's announcement with him",__prepared__,"bought a ticket with those numbers, gave it to my butler, and watched",32,46,25
2264,"one of my cats managed to lock himself in the bathroom the other night, and i still can't figure out how he did it. that's pretty amazing for having no opposable thumbs.",__impressed__,lock,7,7,20
1800,i didn't really think i would win tickets from the radio.,__surprised__,win tickets from the radio,9,13,29
156,i was grateful when i married my wife,__grateful__,married my wife,6,8,17
