,id,emotion,utterance,cause_utterance,cause_span,input_text,start_index,end_index,emotion_label
26,dailydialog_tr_62_utt_3_true_cause_utt_1_span_0,happiness,"Yeah , I heard it's going to be a lot of fun .",Are you going to the party on Saturday ?,party on Saturday ?,"Yeah , I heard it's going to be a lot of fun . Are you going to the party on Saturday ?",21,24,3
27,dailydialog_tr_62_utt_3_true_cause_utt_3_span_1,happiness,"Yeah , I heard it's going to be a lot of fun .","Yeah , I heard it's going to be a lot of fun .",I heard it's going to be a lot of fun .,"Yeah , I heard it's going to be a lot of fun . Yeah , I heard it's going to be a lot of fun .",18,30,3
28,dailydialog_tr_62_utt_4_true_cause_utt_1_span_0,surprise,"Really ? Well , what time does it start ?",Are you going to the party on Saturday ?,party on Saturday ?,"Really ? Well , what time does it start ? Are you going to the party on Saturday ?",16,19,5
29,dailydialog_tr_62_utt_4_true_cause_utt_3_span_1,surprise,"Really ? Well , what time does it start ?","Yeah , I heard it's going to be a lot of fun .",I heard it's going to be a lot of fun .,"Really ? Well , what time does it start ? Yeah , I heard it's going to be a lot of fun .",13,25,5
30,dailydialog_tr_62_utt_9_true_cause_utt_9_span_0,happiness,"This party is going to have a DJ , food , and drinks .","This party is going to have a DJ , food , and drinks .","This party is going to have a DJ , food , and drinks .","This party is going to have a DJ , food , and drinks . This party is going to have a DJ , food , and drinks .",15,28,3
31,dailydialog_tr_62_utt_10_true_cause_utt_9_span_0,happiness,"Wow , that does sound like it's going to be fun .","This party is going to have a DJ , food , and drinks .","This party is going to have a DJ , food , and drinks .","Wow , that does sound like it's going to be fun . This party is going to have a DJ , food , and drinks .",15,28,3
32,dailydialog_tr_62_utt_10_true_cause_utt_10_span_1,happiness,"Wow , that does sound like it's going to be fun .","Wow , that does sound like it's going to be fun .",that does sound like it's going to be fun .,"Wow , that does sound like it's going to be fun . Wow , that does sound like it's going to be fun .",17,28,3
33,dailydialog_tr_62_utt_11_true_cause_utt_9_span_0,happiness,So am I going to see you at the party ?,"This party is going to have a DJ , food , and drinks .","This party is going to have a DJ , food , and drinks .","So am I going to see you at the party ? This party is going to have a DJ , food , and drinks .",12,25,3
34,dailydialog_tr_62_utt_11_true_cause_utt_10_span_1,happiness,So am I going to see you at the party ?,"Wow , that does sound like it's going to be fun .",that does sound like it's going to be fun .,"So am I going to see you at the party ? Wow , that does sound like it's going to be fun .",14,25,3
35,dailydialog_tr_62_utt_12_true_cause_utt_9_span_0,happiness,"Yeah , I will be there .","This party is going to have a DJ , food , and drinks .","This party is going to have a DJ , food , and drinks .","Yeah , I will be there . This party is going to have a DJ , food , and drinks .",8,21,3
36,dailydialog_tr_62_utt_12_true_cause_utt_10_span_1,happiness,"Yeah , I will be there .","Wow , that does sound like it's going to be fun .",that does sound like it's going to be fun .,"Yeah , I will be there . Wow , that does sound like it's going to be fun .",10,21,3
37,dailydialog_tr_62_utt_12_true_cause_utt_11_span_2,happiness,"Yeah , I will be there .",So am I going to see you at the party ?,am I going to see you at the party ?,"Yeah , I will be there . So am I going to see you at the party ?",9,18,3
38,dailydialog_tr_3053_utt_2_true_cause_utt_2_span_0,anger,Didn't I tell you ? It's over !,Didn't I tell you ? It's over !,It's over !,Didn't I tell you ? It's over ! Didn't I tell you ? It's over !,20,24,0
39,dailydialog_tr_3053_utt_4_true_cause_utt_4_span_0,anger,"It was a few things . The first thing that happened was that we were supposed to go out for a romantic dinner for our one year anniversary , but she stood me up !","It was a few things . The first thing that happened was that we were supposed to go out for a romantic dinner for our one year anniversary , but she stood me up !","The first thing that happened was that we were supposed to go out for a romantic dinner for our one year anniversary , but she stood me up !","It was a few things . The first thing that happened was that we were supposed to go out for a romantic dinner for our one year anniversary , but she stood me up ! It was a few things . The first thing that happened was that we were supposed to go out for a romantic dinner for our one year anniversary , but she stood me up !",42,70,0
40,dailydialog_tr_3053_utt_5_true_cause_utt_4_span_0,surprise,Really ! Did she tell you why she didn't show up ?,"It was a few things . The first thing that happened was that we were supposed to go out for a romantic dinner for our one year anniversary , but she stood me up !","The first thing that happened was that we were supposed to go out for a romantic dinner for our one year anniversary , but she stood me up !","Really ! Did she tell you why she didn't show up ? It was a few things . The first thing that happened was that we were supposed to go out for a romantic dinner for our one year anniversary , but she stood me up !",21,49,5
41,dailydialog_tr_3053_utt_5_true_cause_utt_5_span_1,surprise,Really ! Did she tell you why she didn't show up ?,Really ! Did she tell you why she didn't show up ?,she didn't show up,Really ! Did she tell you why she didn't show up ? Really ! Did she tell you why she didn't show up ?,22,27,5
42,dailydialog_tr_3053_utt_6_true_cause_utt_4_span_0,anger,"No , but I ended up finding out later that night when I saw her drinking with another man at a club near my home !","It was a few things . The first thing that happened was that we were supposed to go out for a romantic dinner for our one year anniversary , but she stood me up !","The first thing that happened was that we were supposed to go out for a romantic dinner for our one year anniversary , but she stood me up !","No , but I ended up finding out later that night when I saw her drinking with another man at a club near my home ! It was a few things . The first thing that happened was that we were supposed to go out for a romantic dinner for our one year anniversary , but she stood me up !",33,61,0
43,dailydialog_tr_3053_utt_6_true_cause_utt_6_span_1,anger,"No , but I ended up finding out later that night when I saw her drinking with another man at a club near my home !","No , but I ended up finding out later that night when I saw her drinking with another man at a club near my home !",I ended up finding out later that night when I saw her drinking with another man at a club near my home !,"No , but I ended up finding out later that night when I saw her drinking with another man at a club near my home ! No , but I ended up finding out later that night when I saw her drinking with another man at a club near my home !",30,52,0
44,dailydialog_tr_3053_utt_8_true_cause_utt_4_span_0,anger,"I wanted to , but I knew that if I spoke to her , I'd just blow up at her , so I decided to just go home . I called her later that the night , but she didn't answer the phone .","It was a few things . The first thing that happened was that we were supposed to go out for a romantic dinner for our one year anniversary , but she stood me up !","The first thing that happened was that we were supposed to go out for a romantic dinner for our one year anniversary , but she stood me up !","I wanted to , but I knew that if I spoke to her , I'd just blow up at her , so I decided to just go home . I called her later that the night , but she didn't answer the phone . It was a few things . The first thing that happened was that we were supposed to go out for a romantic dinner for our one year anniversary , but she stood me up !",55,83,0
45,dailydialog_tr_3053_utt_8_true_cause_utt_6_span_1,anger,"I wanted to , but I knew that if I spoke to her , I'd just blow up at her , so I decided to just go home . I called her later that the night , but she didn't answer the phone .","No , but I ended up finding out later that night when I saw her drinking with another man at a club near my home !",I ended up finding out later that night when I saw her drinking with another man at a club near my home !,"I wanted to , but I knew that if I spoke to her , I'd just blow up at her , so I decided to just go home . I called her later that the night , but she didn't answer the phone . No , but I ended up finding out later that night when I saw her drinking with another man at a club near my home !",52,74,0
46,dailydialog_tr_3053_utt_10_true_cause_utt_4_span_0,anger,I know . I still haven't heard from her . The good thing is that I'm so angry with her that I don't feel sad about not having her around .,"It was a few things . The first thing that happened was that we were supposed to go out for a romantic dinner for our one year anniversary , but she stood me up !","The first thing that happened was that we were supposed to go out for a romantic dinner for our one year anniversary , but she stood me up !","I know . I still haven't heard from her . The good thing is that I'm so angry with her that I don't feel sad about not having her around . It was a few things . The first thing that happened was that we were supposed to go out for a romantic dinner for our one year anniversary , but she stood me up !",44,72,0
47,dailydialog_tr_3053_utt_10_true_cause_utt_6_span_1,anger,I know . I still haven't heard from her . The good thing is that I'm so angry with her that I don't feel sad about not having her around .,"No , but I ended up finding out later that night when I saw her drinking with another man at a club near my home !",I ended up finding out later that night when I saw her drinking with another man at a club near my home !,"I know . I still haven't heard from her . The good thing is that I'm so angry with her that I don't feel sad about not having her around . No , but I ended up finding out later that night when I saw her drinking with another man at a club near my home !",41,63,0
48,dailydialog_tr_4647_utt_1_true_cause_utt_1_span_0,happiness,Your garden is looking beautiful this summer . The flowers are really colorful .,Your garden is looking beautiful this summer . The flowers are really colorful .,Your garden is looking beautiful this summer . The flowers are really colorful .,Your garden is looking beautiful this summer . The flowers are really colorful . Your garden is looking beautiful this summer . The flowers are really colorful .,15,28,3
49,dailydialog_tr_4647_utt_2_true_cause_utt_1_span_0,happiness,"Thank you . I have roses , tulips , and daffodils . Do you like the rockery with the smaller flowers ?",Your garden is looking beautiful this summer . The flowers are really colorful .,Your garden is looking beautiful this summer . The flowers are really colorful .,"Thank you . I have roses , tulips , and daffodils . Do you like the rockery with the smaller flowers ? Your garden is looking beautiful this summer . The flowers are really colorful .",29,42,3
50,dailydialog_tr_4647_utt_3_true_cause_utt_1_span_0,happiness,"Yes , I do . Those are violets , aren ' t they ?",Your garden is looking beautiful this summer . The flowers are really colorful .,Your garden is looking beautiful this summer . The flowers are really colorful .,"Yes , I do . Those are violets , aren ' t they ? Your garden is looking beautiful this summer . The flowers are really colorful .",16,29,3
51,dailydialog_tr_4647_utt_3_true_cause_utt_2_span_1,happiness,"Yes , I do . Those are violets , aren ' t they ?","Thank you . I have roses , tulips , and daffodils . Do you like the rockery with the smaller flowers ?",the rockery with the smaller flowers ?,"Yes , I do . Those are violets , aren ' t they ? Thank you . I have roses , tulips , and daffodils . Do you like the rockery with the smaller flowers ?",36,43,3
52,dailydialog_tr_4647_utt_4_true_cause_utt_1_span_0,happiness,"Yes , they are . This afternoon , I ' m going to prune the hedge .",Your garden is looking beautiful this summer . The flowers are really colorful .,Your garden is looking beautiful this summer . The flowers are really colorful .,"Yes , they are . This afternoon , I ' m going to prune the hedge . Your garden is looking beautiful this summer . The flowers are really colorful .",20,33,3
53,dailydialog_tr_4647_utt_5_true_cause_utt_1_span_0,happiness,The lower branches on that tree are hanging very low . Would you like me to cut them off for you ?,Your garden is looking beautiful this summer . The flowers are really colorful .,Your garden is looking beautiful this summer . The flowers are really colorful .,The lower branches on that tree are hanging very low . Would you like me to cut them off for you ? Your garden is looking beautiful this summer . The flowers are really colorful .,23,36,3
54,dailydialog_tr_4647_utt_6_true_cause_utt_1_span_0,happiness,Thank you ! That would be very kind of you . I have a saw in the garden shed .,Your garden is looking beautiful this summer . The flowers are really colorful .,Your garden is looking beautiful this summer . The flowers are really colorful .,Thank you ! That would be very kind of you . I have a saw in the garden shed . Your garden is looking beautiful this summer . The flowers are really colorful .,21,34,3
55,dailydialog_tr_4647_utt_6_true_cause_utt_5_span_1,happiness,Thank you ! That would be very kind of you . I have a saw in the garden shed .,The lower branches on that tree are hanging very low . Would you like me to cut them off for you ?,Would you like me to cut them off for you ?,Thank you ! That would be very kind of you . I have a saw in the garden shed . The lower branches on that tree are hanging very low . Would you like me to cut them off for you ?,32,42,3
56,dailydialog_tr_4647_utt_7_true_cause_utt_1_span_0,happiness,"When the lower branches are removed , you ' ll be able to sit under the tree .",Your garden is looking beautiful this summer . The flowers are really colorful .,Your garden is looking beautiful this summer . The flowers are really colorful .,"When the lower branches are removed , you ' ll be able to sit under the tree . Your garden is looking beautiful this summer . The flowers are really colorful .",19,32,3
57,dailydialog_tr_4647_utt_7_true_cause_utt_7_span_1,happiness,"When the lower branches are removed , you ' ll be able to sit under the tree .","When the lower branches are removed , you ' ll be able to sit under the tree .","When the lower branches are removed , you ' ll be able to sit under the tree .","When the lower branches are removed , you ' ll be able to sit under the tree . When the lower branches are removed , you ' ll be able to sit under the tree .",19,36,3
58,dailydialog_tr_4647_utt_8_true_cause_utt_1_span_0,happiness,"Tomorrow , I ' ll cut the grass . Then the garden will lock perfect .",Your garden is looking beautiful this summer . The flowers are really colorful .,Your garden is looking beautiful this summer . The flowers are really colorful .,"Tomorrow , I ' ll cut the grass . Then the garden will lock perfect . Your garden is looking beautiful this summer . The flowers are really colorful .",17,30,3
59,dailydialog_tr_4647_utt_8_true_cause_utt_7_span_1,happiness,"Tomorrow , I ' ll cut the grass . Then the garden will lock perfect .","When the lower branches are removed , you ' ll be able to sit under the tree .","When the lower branches are removed , you ' ll be able to sit under the tree .","Tomorrow , I ' ll cut the grass . Then the garden will lock perfect . When the lower branches are removed , you ' ll be able to sit under the tree .",17,34,3
60,dailydialog_tr_4647_utt_8_true_cause_utt_8_span_2,happiness,"Tomorrow , I ' ll cut the grass . Then the garden will lock perfect .","Tomorrow , I ' ll cut the grass . Then the garden will lock perfect .",Then the garden will lock perfect .,"Tomorrow , I ' ll cut the grass . Then the garden will lock perfect . Tomorrow , I ' ll cut the grass . Then the garden will lock perfect .",26,32,3
61,dailydialog_tr_4647_utt_9_true_cause_utt_1_span_0,happiness,Just make sure children don ' t play in the flower beds and destroy the flowers .,Your garden is looking beautiful this summer . The flowers are really colorful .,Your garden is looking beautiful this summer . The flowers are really colorful .,Just make sure children don ' t play in the flower beds and destroy the flowers . Your garden is looking beautiful this summer . The flowers are really colorful .,18,31,3
62,dailydialog_tr_4647_utt_9_true_cause_utt_7_span_1,happiness,Just make sure children don ' t play in the flower beds and destroy the flowers .,"When the lower branches are removed , you ' ll be able to sit under the tree .","When the lower branches are removed , you ' ll be able to sit under the tree .","Just make sure children don ' t play in the flower beds and destroy the flowers . When the lower branches are removed , you ' ll be able to sit under the tree .",18,35,3
63,dailydialog_tr_4647_utt_9_true_cause_utt_8_span_2,happiness,Just make sure children don ' t play in the flower beds and destroy the flowers .,"Tomorrow , I ' ll cut the grass . Then the garden will lock perfect .",Then the garden will lock perfect .,"Just make sure children don ' t play in the flower beds and destroy the flowers . Tomorrow , I ' ll cut the grass . Then the garden will lock perfect .",27,33,3
64,dailydialog_tr_2101_utt_1_true_cause_utt_1_span_0,anger,I don't know what to do about the people who live in the flat above me !,I don't know what to do about the people who live in the flat above me !,the people who live in the flat above me,I don't know what to do about the people who live in the flat above me ! I don't know what to do about the people who live in the flat above me !,29,37,0
65,dailydialog_tr_2101_utt_3_true_cause_utt_3_span_0,anger,They're incredibly selfish . They ' re always up until the wee hours of the night playing their music so loudly that I have to wear earplugs in order to fall asleep !,They're incredibly selfish . They ' re always up until the wee hours of the night playing their music so loudly that I have to wear earplugs in order to fall asleep !,They're incredibly selfish . They ' re always up until the wee hours of the night playing their music so loudly that I have to wear earplugs in order to fall asleep !,They're incredibly selfish . They ' re always up until the wee hours of the night playing their music so loudly that I have to wear earplugs in order to fall asleep ! They're incredibly selfish . They ' re always up until the wee hours of the night playing their music so loudly that I have to wear earplugs in order to fall asleep !,40,78,0
66,dailydialog_tr_2101_utt_5_true_cause_utt_3_span_0,anger,"I tried to introduce myself to them when they moved in , but they were so arrogant that I didin't want to ever talk to them again !",They're incredibly selfish . They ' re always up until the wee hours of the night playing their music so loudly that I have to wear earplugs in order to fall asleep !,They're incredibly selfish . They ' re always up until the wee hours of the night playing their music so loudly that I have to wear earplugs in order to fall asleep !,"I tried to introduce myself to them when they moved in , but they were so arrogant that I didin't want to ever talk to them again ! They're incredibly selfish . They ' re always up until the wee hours of the night playing their music so loudly that I have to wear earplugs in order to fall asleep !",32,70,0
67,dailydialog_tr_2101_utt_5_true_cause_utt_5_span_1,anger,"I tried to introduce myself to them when they moved in , but they were so arrogant that I didin't want to ever talk to them again !","I tried to introduce myself to them when they moved in , but they were so arrogant that I didin't want to ever talk to them again !",they were so arrogant that I didin't want to ever talk to them again !,"I tried to introduce myself to them when they moved in , but they were so arrogant that I didin't want to ever talk to them again ! I tried to introduce myself to them when they moved in , but they were so arrogant that I didin't want to ever talk to them again !",45,62,0
68,dailydialog_tr_2101_utt_7_true_cause_utt_3_span_0,anger,They both just talk about how great they are all the time .,They're incredibly selfish . They ' re always up until the wee hours of the night playing their music so loudly that I have to wear earplugs in order to fall asleep !,They're incredibly selfish . They ' re always up until the wee hours of the night playing their music so loudly that I have to wear earplugs in order to fall asleep !,They both just talk about how great they are all the time . They're incredibly selfish . They ' re always up until the wee hours of the night playing their music so loudly that I have to wear earplugs in order to fall asleep !,14,52,0
69,dailydialog_tr_2101_utt_7_true_cause_utt_5_span_1,anger,They both just talk about how great they are all the time .,"I tried to introduce myself to them when they moved in , but they were so arrogant that I didin't want to ever talk to them again !",they were so arrogant that I didin't want to ever talk to them again !,"They both just talk about how great they are all the time . I tried to introduce myself to them when they moved in , but they were so arrogant that I didin't want to ever talk to them again !",27,44,0
70,dailydialog_tr_2101_utt_7_true_cause_utt_7_span_2,anger,They both just talk about how great they are all the time .,They both just talk about how great they are all the time .,They both just talk about how great they are all the time .,They both just talk about how great they are all the time . They both just talk about how great they are all the time .,14,26,0
71,dailydialog_tr_2101_utt_8_true_cause_utt_3_span_0,anger,They soud like the neighbours from hell !,They're incredibly selfish . They ' re always up until the wee hours of the night playing their music so loudly that I have to wear earplugs in order to fall asleep !,They're incredibly selfish . They ' re always up until the wee hours of the night playing their music so loudly that I have to wear earplugs in order to fall asleep !,They soud like the neighbours from hell ! They're incredibly selfish . They ' re always up until the wee hours of the night playing their music so loudly that I have to wear earplugs in order to fall asleep !,10,48,0
72,dailydialog_tr_2101_utt_8_true_cause_utt_5_span_1,anger,They soud like the neighbours from hell !,"I tried to introduce myself to them when they moved in , but they were so arrogant that I didin't want to ever talk to them again !",they were so arrogant that I didin't want to ever talk to them again !,"They soud like the neighbours from hell ! I tried to introduce myself to them when they moved in , but they were so arrogant that I didin't want to ever talk to them again !",23,40,0
73,dailydialog_tr_2101_utt_8_true_cause_utt_7_span_2,anger,They soud like the neighbours from hell !,They both just talk about how great they are all the time .,They both just talk about how great they are all the time .,They soud like the neighbours from hell ! They both just talk about how great they are all the time .,10,22,0
74,dailydialog_tr_2101_utt_8_true_cause_utt_7_span_3,anger,They soud like the neighbours from hell !,They both just talk about how great they are all the time .,They both just talk about how great they are all the time .,They soud like the neighbours from hell ! They both just talk about how great they are all the time .,10,22,0
75,dailydialog_tr_2101_utt_9_true_cause_utt_3_span_0,anger,"They are ! Besides being loud and arrogant , they're also terrible gossips . They're always talking about everybody else in the apartment .",They're incredibly selfish . They ' re always up until the wee hours of the night playing their music so loudly that I have to wear earplugs in order to fall asleep !,They're incredibly selfish . They ' re always up until the wee hours of the night playing their music so loudly that I have to wear earplugs in order to fall asleep !,"They are ! Besides being loud and arrogant , they're also terrible gossips . They're always talking about everybody else in the apartment . They're incredibly selfish . They ' re always up until the wee hours of the night playing their music so loudly that I have to wear earplugs in order to fall asleep !",30,68,0
76,dailydialog_tr_2101_utt_9_true_cause_utt_5_span_1,anger,"They are ! Besides being loud and arrogant , they're also terrible gossips . They're always talking about everybody else in the apartment .","I tried to introduce myself to them when they moved in , but they were so arrogant that I didin't want to ever talk to them again !",they were so arrogant that I didin't want to ever talk to them again !,"They are ! Besides being loud and arrogant , they're also terrible gossips . They're always talking about everybody else in the apartment . I tried to introduce myself to them when they moved in , but they were so arrogant that I didin't want to ever talk to them again !",43,60,0
77,dailydialog_tr_2101_utt_9_true_cause_utt_7_span_2,anger,"They are ! Besides being loud and arrogant , they're also terrible gossips . They're always talking about everybody else in the apartment .",They both just talk about how great they are all the time .,They both just talk about how great they are all the time .,"They are ! Besides being loud and arrogant , they're also terrible gossips . They're always talking about everybody else in the apartment . They both just talk about how great they are all the time .",30,42,0
78,dailydialog_tr_2101_utt_9_true_cause_utt_9_span_3,anger,"They are ! Besides being loud and arrogant , they're also terrible gossips . They're always talking about everybody else in the apartment .","They are ! Besides being loud and arrogant , they're also terrible gossips . They're always talking about everybody else in the apartment .","Besides being loud and arrogant , they're also terrible gossips . They're always talking about everybody else in the apartment .","They are ! Besides being loud and arrogant , they're also terrible gossips . They're always talking about everybody else in the apartment . They are ! Besides being loud and arrogant , they're also terrible gossips . They're always talking about everybody else in the apartment .",33,58,0
79,dailydialog_tr_2101_utt_15_true_cause_utt_3_span_0,disgust,I can't afford to move right now .,They're incredibly selfish . They ' re always up until the wee hours of the night playing their music so loudly that I have to wear earplugs in order to fall asleep !,They're incredibly selfish . They ' re always up until the wee hours of the night playing their music so loudly that I have to wear earplugs in order to fall asleep !,I can't afford to move right now . They're incredibly selfish . They ' re always up until the wee hours of the night playing their music so loudly that I have to wear earplugs in order to fall asleep !,11,49,1
80,dailydialog_tr_2101_utt_15_true_cause_utt_5_span_1,disgust,I can't afford to move right now .,"I tried to introduce myself to them when they moved in , but they were so arrogant that I didin't want to ever talk to them again !",they were so arrogant that I didin't want to ever talk to them again !,"I can't afford to move right now . I tried to introduce myself to them when they moved in , but they were so arrogant that I didin't want to ever talk to them again !",24,41,1
81,dailydialog_tr_2101_utt_15_true_cause_utt_7_span_2,disgust,I can't afford to move right now .,They both just talk about how great they are all the time .,They both just talk about how great they are all the time .,I can't afford to move right now . They both just talk about how great they are all the time .,11,23,1
