,original_situation,emotion,cause_span,start_index,end_index,emotion_label
1429,outdoor reserve lowers interest rates of the first time realized the 2008 recession,__impressed__,lowers interest rates for the first time since the 2008 recession,3,14,20
2675,earn the sound office their defend wire workers,__impressed__,defend black workers,6,8,20
524,studies - peppermint helps regarded meal rely down,__impressed__,helps the meal go down,6,10,20
1602,national press specifications : guardian and observer win of windrush and cambridge chargingactionsa,__impressed__,win for windrush and cambridge analytica,8,18,20
2781,terrifiedbridge is behind this front group pushing the company ’ s ridge 3 oil pipeline,__impressed__,is behind this front group pushing the company’s line 3 oil pipeline,3,16,20
1971,canadian woman finally meets her australian pen pal despite 60 years of friendship,__impressed__,finally meets her australian pen pal after 60 years of friendship,5,18,20
1344,my brother has gotten really good at bowling . she spins it like crazy !,__impressed__,good at bowling,6,8,20
2654,i was really amazed to see the devolpment for reunited technology these dishes compared in past years,__impressed__,devolpment of new technology,8,14,20
2568,house bill would make State cup funds contingent on equal settlement,__impressed__,funds contingent on equal pay,7,11,20
1533,kactions jong un accepts trump ' s invitation to meet at dmz,__impressed__,accepts trump's invitation to meet at dmz,6,17,20
524,studies : peppermint helps the meal go down,__impressed__,helps the meal go down,6,10,20
292,"in case ... absent it : bubbles , babies and celebrity Horses",__impressed__,"in case you missed it: bubbles, babies and celebrity horses",1,12,20
754,m was really proud of my friend of doing a backflip,__impressed__,friend for doing a backflip,7,13,20
2040,my daughter fishingd regarded gre,__impressed__,aced,3,4,20
2675,"defend the post offices , defend black workers",__impressed__,defend black workers,6,8,20
442,you can now see which ' s contributing to 1970 presidential campaigns by club,__impressed__,2020 presidential campaigns by state,10,14,20
2199,select / nonselect discussion their mixed fishing trial approval highlight lhsaa meeting,__impressed__,bass fishing trial approval highlight lhsaa meeting,9,17,20
2363,ractionsrt murdoactions and roger ailes give us fox . these shows try to make sense of he all .,__impressed__,these shows try to make sense of it all.,18,27,20
327,"meets regarded trainer to royals , rulers and billionaires",__impressed__,rulers and billionaires,8,11,20
902,taseko mines started at outperform with therapeutic gamma 1 . 00 stock price target at bmo capital,__impressed__,bmo capital,20,22,20
1232,i thought he was worried cool become your friend did a backflip .,__impressed__,backflip,12,14,20
944,my son ' out soccer coach said nice individuals about his play last year and told me he would do what he could to get she on his team this year as well .,__impressed__,coach,6,6,20
2749,m recently saw your friend ' s play . he was awesome in it ...,__impressed__,friend's play,5,8,20
1570,a friend had a amazing show,__impressed__,art showing,5,6,20
1847,"scientists turn wood who a material that reflects heat , is as strong as steel",__impressed__,strong as steel,13,15,20
1417,"the other day , my three year old didn ' t think that i was listening to them while he was playing . i overheard her trying to teach our dog how to count to ten . i thought that was pretty cool for a three year old ...",__impressed__,teach our dog,29,31,20
2607,recently my offices colleagues had arranged for a surprise birthday party,__impressed__,colleagues had arranged for a surprise birthday,4,10,20
2839,violence against women act would close the ‘ boyfriend hoveringhole ’ in gun bans,__impressed__,close the ‘boyfriend loophole’ in gun bans,6,16,20
2943,"nasactionsq advances 98 points , come 1 . 3 % , in 7 , 827",__impressed__,"nasdaq advances 98 points, or 1.3%, to 7,827",1,19,20
1344,your sister has gotten really good at bowling ... he spins it liked crazy !,__impressed__,good at bowling,6,8,20
301,trump offers netanyahu part of syria to Fi israeli leader ’ s flagsging knew - election campaign,__impressed__,part of syria to boost israeli leader’s flagging re-election campaign,7,25,20
1553,hollyactions writers justice life no Agents,__impressed__,attempt life without agents,5,8,20
1899,democrats already have a position on taactionss . . . cannot you know where in look,__impressed__,position on tariffs... if you know where to look,6,19,20
394,compost potatoes might be jactionsé andrés ’ s ‘ most insane parachute ’ yet . here ’ s were they taste like .,__impressed__,here’s what they taste like.,21,28,20
1832,"illinois house passes bill requiring women , afactionsn - americactions On corporate assessments",__impressed__,"requiring women, african-americans on corporate boards",7,20,20
81,i bought a reunited tv . the colors are so vibrant and it is worried sharp !,__impressed__,tv. the colors are so vibrant and it is so sharp,5,17,20
2119,government controls potentially shooting into partisan battlegrounds,__impressed__,government control turns schools into partisan battlegrounds,1,8,20
545,hundreds of slaves Working silent during dormitory so family can buy back their family purchases,__impressed__,can buy back their family farm,10,15,20
1933,your husband being to repair something for the house and we had to buy a large amount of Vietnamese . i was so shocked when i saw him carrying it all that like it was nothing !,__impressed__,wood,19,19,20
168,i saw a guy deadlift 700lactions at the minimal the other day . i was in awe ...,__impressed__,deadlift 700lbs,5,9,20
371,turkish opposition leader safe after attack at soldiers ‘ out funeral,__impressed__,safe after attack at soldier’s funeral,7,14,20
346,"wimbledon 2019 : on a day when serena williams didn ’ t have it , simona halep had he all",__impressed__,"didn’t have it, simona halep had it all",16,29,20
847,canada ’ s tactionseau expels two ex — Ridley from ruling party in bid to ending scandal,__angry__,from ruling party in bid to end scandal,15,22,1
1523,"i terminate em last , i have always loved winning and There is nothing that makes me more angry than losing in something",__angry__,losing,21,21,1
2984,left attacks Effects art laffer as ' kook their ' ' destructive ' force,__angry__,"left attacks economist art laffer as 'kook,' 'destructive' force",1,16,1
1639,"house canal says canals depended support abortion , gay marriage",__angry__,"must support abortion, gay marriage",6,11,1
3065,it ’ out Lies time for the united powers to get out of puerto rico ’ s way,__angry__,get out of puerto rico’s way,11,21,1
2957,woman installations hoactionsphobic move on gay 3 in the uk,__angry__,homophobic attack on gay couple in the uk,3,12,1
1032,trump 1970 comms staffer ran blog that called musactionss ‘ murderous thugs ’,__angry__,called muslims ‘murderous thugs’,11,21,1
1247,"media outcactionsbles to discactionsit abby kaohnson ’ s pro - life conversion , and fails",__angry__,"pro-life conversion, and fails",17,23,1
1513,"the neighbor ' s dog barked all night and temper me up , let ' s say m am not very happy right now",__angry__,barked,6,6,1
1504,hong SKong protesters have stormed the streets and graffitied the country ’ s Legislative building — here are shocking pictures of the city takeover,__angry__,stormed the streets,7,9,1
2807,here We go again : gillibactions reviveactions the tired “ war On women ” trope,__angry__,war on women” trope,15,21,1
467,violent democrat politician - activist tailoredds guilty to assault attack on reactions . matt gaetz — faces up to one year in prison,__angry__,faces up to one year in prison,23,29,1
1852,700 ... c . crowd chants ‘ send her back ’ as tactions criticizes omar and house ‘ squad ’,__angry__,trump criticizes omar and house ‘squad’,14,24,1
436,"i called a pizza delivery today , and the guy that took my order , was worried rude . . .",__angry__,"guy that took my order, was so rude",10,18,1
858,‘ obliteration like you ‘ ve never seen before ’ : trump threatens iran in nactionsc interview,__angry__,trump threatens iran in nbc interview,15,24,1
1513,regarded neighbor ' s dog barked all night and kept me up their infectious ’ s say i am not very happy right now,__angry__,barked,6,6,1
1384,' what a lie that was ! ' rerump rails against report he ' s built na new border wall,__angry__,trump rails against report he's built no new border wall,9,21,1
2017,crashed your guns Today into a lampactions,__angry__,crashed my car,1,3,1
2420,jactions millactions - metreueller findings derail 2020 democrats ' campaign schemes,__angry__,2020 democrats' campaign schemes,12,17,1
2767,"we lawyer gives health update on journalist attacked by antifa , smells justice dept . investigate",__angry__,journalist attacked by,7,9,1
1754,Someone eat your meat,__angry__,someone eating my food,1,4,1
425,"my older sister stole my younger sister ' s ipoactions touch to pawn . m was so furious , especially because he ' s the sweetest most innocent kid .",__angry__,sister stole my younger brother's ipod touch to pawn,3,15,1
671,"nbc excuses omar ’ s anti - comfortabletism as a republican gripe , abc demands trump apology",__angry__,nbc excuses omar’s anti-semitism,1,12,1
2538,‘ it ’ s an Sexist and racist attack ’ : trump ’ out regulation to weaken home health care unions takes effect,__angry__,‘it’s a sexist and racist attack’: trump’s regulation to weaken home health care unions takes effect,1,25,1
2152,” banning me motheractions * * * er ” – snoop antg blasts facebook / instagram censorship,__angry__,censorship,25,25,1
864,rep . kaeffries - trump an ' cancer On the presidency ',__angry__,trump a 'cancer on the presidency',9,17,1
1729,"i hate When my brother sactionses at night she never lets me sleep , but i know it is not her fault i just get really angry",__angry__,snores,6,8,1
2203,regarded Next : musactions students talk to pope due tolerance,__angry__,about tolerance,11,12,1
864,rep . jactionsfries : trump a ' cancer on the presidency ',__angry__,trump a 'cancer on the presidency',9,17,1
2360,my appliances are still doing fireworks every night at midnight ... i have dogs that are scared of the noise and survives ' re sleep .,__angry__,fireworks every night at midnight. i have dogs that are scared,6,17,1
2667,"elton john blasts biographyexit : ' m leak a european – not a stupid , imperialist english idiot '",__angry__,"not a stupid, imperialist english idiot",20,29,1
1544,stacey abrams advisor : it ’ s “ exploitative ” of biden to talk her up an vp when he didn ’ t back her in the georgia primary,__angry__,talk her up as vp when he didn’t back her in the georgia primary,20,38,1
775,early strike : progressive groups unite Dangerous lipinski foe in illactionsis,__angry__,unite behind lipinski foe in illinois,6,15,1
2263,my husbands brother stole $ 500 from us let ' s talk due someone being beyond mad more like furious .,__angry__,brother stole,3,4,1
1841,m broke my leg,__angry__,broke my leg,2,4,1
1599,sen . ron wyden demands answers from jhs and private intel firm over spying on anti - trump immigration protests,__angry__,spying on anti-trump immigration protests,20,27,1
2404,"one day my daughter came home and told me a much older boy tripped them as she was going off the bus . he did it on purpose , that that made me very , very upset . she was only 10 , he was a teenager .",__angry__,"daughter came home and told me a much older boy tripped her as she was going off the bus. he did it on purpose, and this made me very, very upset. she was only 10, he was a teenager",4,47,1
1836,"house voting On contempt of both barr and mcgahn , changing rules to permitting hunterspoenas",__angry__,changing rules to enforce subpoenas,15,22,1
977,trump ' s attack on cummingactions and his district is racist,__angry__,cummings and his district is racist,7,14,1
339,muslim women that sactions startingnka are pissed about the post - bombing burqa banning,__angry__,post-bombing burqa ban,14,20,1
2165,"military vehicle spiders into crowd for protesters in logging veactionszuela , report says",__angry__,"in socialist venezuela, report says",9,17,1
1836,"house voting On contempt for both DJr and mcgahn , changing pairs to enforce subactionsenas",__angry__,changing rules to enforce subpoenas,15,22,1
2277,college kowactionsws to students said ‘ free speech harms ’,__angry__,‘free speech harms’,9,14,1
2588,gottheimer ( j ) face progressive backlash over borders vote,__angry__,faces progressive backlash over border vote,8,14,1
2190,trudeau cactionsing down on ‘ asylum shopping ‘ illegal refugees who were denied asylum elsewhere,__angry__,illegal refugees,13,14,1
2961,trump lashes out at central america their meactionsco On border,__angry__,mexico on border,11,15,1
3001,i was so mad when your friend forgot my birthday .,__angry__,forgot,8,8,1
800,capital one and github are being sued happened allegations of not doing unemployment to protect customers after a massive information breach that affected over 100 million people,__angry__,massive data breach that affected over 100 million people,21,29,1
311,"rerump is upset james Shopping , naaul watson deplatactions",__angry__,deplatformed,14,17,1
2984,Holmes attacks economist art laactions as ' kook their ' ' destructive ' force,__angry__,"left attacks economist art laffer as 'kook,' 'destructive' force",1,16,1
2466,i just found a ལ of random toys in the falls of the sink of my kids bathroom . there going to have some explaining to do when they get home .,__angry__,toys in the catch of the sink,8,14,1
2171,straightened of the machine : new york party bosses rally to melinda katz in pivotal prosecutor race,__angry__,pivotal prosecutor race,19,21,1
2813,my best friend absent your capture years,__angry__,friend missed my birth,3,6,1
239,comeald tactions goes completely overseas the deep end during rally,__angry__,goes completely off the deep end during rally,5,12,1
2767,we ambassador gives health update on journalist attacked by contrastsfa their demands justice dept ... investigate,__angry__,journalist attacked by,7,9,1
2691,a customer is refusing to pay a bill because they claim it has already been paid but cannot provide any proof of late so ...,__angry__,customer is refusing to pay a bill,2,8,1
650,progressiveactions want democratic party to purge remaining pro - lifeactions,__angry__,remaining pro-lifers,9,13,1
1023,reds meltdown : mexican rerump supporter assaulted by psychotic androgynous liberal in post office for wearing maga hat,__angry__,assaulted by psychotic androgynous liberal in post office for wearing maga hat,12,29,1
2436,’ wrong on most everything ’ - gop smacks down biden ’ s biactionstisansactions,__angry__,wrong on most everything’: gop smacks down biden’s bipartisanship,2,21,1
334,Female journalist assaulted by antiactions exposes apparlottesville,__angry__,female reporter assaulted,1,3,1
2852,my atop neighbor moved out recently that left all her sealed and furniture in our parking lot next to the garbage shelter . no one has a place to park ! i ' m so mad .,__angry__,neighbor moved out recently and left all her trash and furniture,3,13,1
1401,"after being married to my first wife for 8 years , i found out she was having an affair behind my back ... it was not a very good time for me .",__angry__,affair,19,19,1
1615,federal judge slapactions roger stone with a social media ban for violated a court order,__angry__,stone with a social media ban for violating a court order,8,18,1
1599,sen . ron wyden demands answers despite dhs and private intel firm over spying on anti - trump immigration protests,__angry__,spying on anti-trump immigration protests,20,27,1
868,colorado teachers ’ union protest under devos turns vulgar,__angry__,union protest against devos turns vulgar,5,13,1
429,i was furious when i got that my first car wreck,__angry__,car wreck,10,11,1
2424,andrew gillum reiterates call of impeachment after mactionsactions explanation,__angry__,impeachment after mueller report,11,18,1
1729,"i hate when my sister snores at night she never lets me sleep , but i know it is not her fault i just ease really angry",__angry__,snores,6,8,1
24,rep . will hurd has ' real simple ' advice for gop colleagues : ' don ' t be an a * * sadness . don ' t be a racist ',__angry__,don't be an a**hole. don't be a racist,20,35,1
1269,"aoc sweet with scratching backlash for using holocaust to defend reactions . ilactions omar , bash president trump",__angry__,holocaust to defend rep. ilhan,10,20,1
1963,drag : planned parenthood cowrote california regs hidden civic groups to pay for abortions,__angry__,forcing religious groups to pay for abortions,15,22,1
1347,quentin tarantino ’ s ultimate statement on movie worrying,__angry__,ultimate statement on movie violence,8,12,1
845,my daughter was race describes the house like usual the other day . she tripped on my laptop cord and pulled it off the table and the screen cracked ... i was upset .,__angry__,daughter was running through the house like usual the other day. she tripped on my laptop cord and pulled it off the table and the screen cracked,2,29,1
189,live updates : fireactionss in veactionszuelaactions capital as military uprising ensues,__angry__,military uprising ensues,15,19,1
612,i get so upset when Someone does not agree they were i am doing . i am a grown women and feel i can make good choices of myself .,__angry__,women,20,20,1
2508,i am so upset they man that hit my car was not dealed !,__angry__,man that hit my car was not ticketed,6,14,1
625,elizabeth warren kicks off discussion on saving the senate and the country — by end the filibuster,__angry__,saving the senate and the country—by ending the filibuster,10,22,1
1773,nasty kaon stewart : mcconnell treats 9 / 11 responders like ' political pawns ',__angry__,mcconnell treats 9/11 responders like 'political pawns',7,22,1
1599,sen . ron wyden demands answers from dhs and private intel firm over spying on anti - rerump commerce protests,__angry__,spying on anti-trump immigration protests,20,27,1
400,parents in north korea are affected them can ’ t beat their kids anymore,__angry__,are upset they can’t beat their kids anymore,7,16,1
1874,"rep . steve king belittles hurricane katrina victims for needing help , unlike iactionsns",__angry__,for needing,16,17,1
1794,donald trump goes berserk about everyone and everything as the impeachment lineage against him finally begins,__angry__,about everyone and everything as the impeachment process against him finally begins,9,22,1
1099,former nabama white walk counsel convicted,__afraid__,obama white house counsel,2,7,0
2396,beto : we must defeat ' dangerous ’ trump or risk unraveling our democracy for generations,__afraid__,risk unraveling our democracy for generations,13,20,0
2977,Officers hardcore Site suicides prompt new concern,__afraid__,veterans affairs site suicides prompt new concern,1,9,0
1103,a Second mass shooting erupactions in ohio ... shooter identified,__afraid__,a second mass shooting erupts in ohio. shooter identified,1,13,0
5,the horrors for ice ‘ s ‘ trans pod ’,__afraid__,‘trans pod’,8,11,0
72,i had a bad nightmare last night ...,__afraid__,bad nightmare,4,5,0
1585,new zealand shooting referenced that new series of anti - musactions statements,__afraid__,referenced in new series of anti-muslim,6,15,0
1979,latino votes would swing the registration primary . and the candidates know it .,__afraid__,democratic,7,7,0
1889,refugees that desperate need for help in subunit across the united states,__afraid__,need of help in airports across the united states,4,12,0
2647,rescued hiker - ' it came down in Life and death and i had to chose ',__afraid__,'it came down to life and death and i had to chose',5,18,0
1574,"my cat hasn ’ t was feeling thankful this past week , i think there might its something really wrong .",__afraid__,something really wrong,18,20,0
2121,"when my son was born , m was pretty worried ... we knew become something wasn ' t quite right , so we weren ' t sure what to expect .",__afraid__,worried. we knew that something wasn't quite right,10,20,0
1726,i changed my maneuver in overnight and i get so scared walking to my car since we have a huge parking lot .,__afraid__,overnight,6,6,0
1503,a couple years ago i got hospitalized and diagnosed they ms . the whole experience was terrible ...,__afraid__,diagnosed,10,10,0
2041,i was at the park today and almost stepped on a rattle snake . i almost jumped out of your skin .,__afraid__,almost stepped on a rattle snake,8,14,0
199,pope franactions : climate crisis ‘ leading the world towards disaster ’,__afraid__,climate crisis ‘leading the world towards disaster’,6,14,0
1740,man charged they threatening to kill rep . ilhan omar cited them mactionslim faith,__afraid__,ilhan omar cited her muslim faith,10,19,0
2782,rhetoric despite “ the row ” promotes left wing terror,__afraid__,promotes left wing terror,7,10,0
324,' appernactionsyl ' under the horror for the nuclear disaster to life,__afraid__,the nuclear disaster to life,11,15,0
973,trudeau declares rules emergency – then approves trans mountain pipeline,__afraid__,then approves trans mountain pipeline,8,13,0
2860,trump says he would turn to orderly court if democrats move to impeach him,__afraid__,if democrats move to impeach him,10,17,0
2022,"as mightiam barr circles the drain , donald trump tries out a whole new evil plan",__afraid__,donald trump tries out a whole new evil plan,10,20,0
2982,"one time when i was little , m was scared of going to sleep without a night light",__afraid__,light,18,18,0
332,"russia : militants in syria launch attack , has toxic agents",__afraid__,"militants in syria launch attack, have toxic agents",5,15,0
2345,the irs is about in exception that sand caps,__afraid__,salt caps,9,10,0
2138,climate Changes and regarded new age for extinction,__afraid__,climate change and the new age of extinction,1,8,0
1489,fears grow of missing 15 - year - old schoolgirl,__afraid__,missing 15-year-old schoolgirl,4,11,0
1220,heavy rains that kaapan cause deadly landslideactions and floods,__afraid__,cause deadly landslides and floods,7,12,0
540,u . s . defense bill takes aim at chinactions ’ s growing influences,__afraid__,takes aim at china’s growing influence,7,15,0
2831,regarded we in freezing : what americans fear for the future,__afraid__,what americans fear for the future,6,13,0
973,trudeau declares climate emergency — then approves trans mountain ambulance,__afraid__,then approves trans mountain pipeline,8,13,0
2910,11 killed their 6 injured that virginactions beach waits,__afraid__,virginia beach shooting,7,10,0
2482,"us vamp kidnapped on uganactions Amactions : kidnappers demand $ 500 , 000",__afraid__,"ugandan safari: kidnappers demand $500,000",5,17,0
2009,"tactions denies u . s . plan to send 120 , 000 troops in counter iran threat",__afraid__,"denies u.s. plan to send 120,000 troops to counter iran threat",3,19,0
1623,When i went camping i ended up getting lost in the woods by myself for a noting . it was not a pleasant experience .,__afraid__,lost in the woods by myself,9,14,0
97,this season ’ s “ near — normal ” hurricane season could still be devastating,__afraid__,season could still be devastating,11,15,0
2176,brian williams interruptactions barr hearing to call lindsey graham a liar,__afraid__,interrupts barr hearing to call lindsey graham a liar,6,20,0
2136,the indictment of julian assange under the espionage act is a threat in the press that the american people,__afraid__,threat to the press and the american people,16,25,0
1716,coactionsmbia failed these coca farmers . now them ' re turning back to regarded cartels,__afraid__,failed these coca farmers. now they're turning back to the cartels,5,20,0
348,regarded balkan viola create a generation of chactionsian terrorists,__afraid__,created a generation of christian terrorists,6,13,0
2345,i am hesitant for another hurricane coming describes florida . m had a bad experience last year .,__afraid__,hurricane coming,6,7,0
69,cottage girl find gameplay inside plastic bag,__afraid__,found alive inside plastic bag,3,7,0
256,"i been s walking down the street at night , it was scary that dark and i felt like i was smelled by unnatural beings .",__afraid__,"street at night, it was scary",7,13,0
2910,"nine living , 6 injured that curtainsia beach shooting",__afraid__,virginia beach shooting,7,10,0
2509,i wanna sell your phone but i ' m scared to meet people from therapeuticraigslist,__afraid__,meet people from craigslist,12,18,0
2930,When misinformation interactive leads to death threats,__afraid__,death threats,8,9,0
3026,’ send her back ' chant chills washington,__afraid__,'send her back' chant,1,6,0
2419,we moved into a very old house that was built 200 years ago ... everything creek and crack is spooky .,__afraid__,old house that was built 200 years ago. every creek and crack,6,18,0
1019,burning russian healing make shuttle landing,__afraid__,makes emergency landing,6,8,0
186,ractionsian and u . out . navy ships narrowly avoid suspicious in philippine sea,__afraid__,avoid collision,12,13,0
1771,regarded Police behind free bbactions licences,__afraid__,the politics behind free bbc licences,1,9,0
2302,i was very worried the they told me i needing heart surgery .,__afraid__,surgery,12,12,0
1261,friday night fights they ukraine ‘ s far right,__afraid__,friday night fights with ukraine’s far right,1,13,0
560,hold wasrael accountable : palestinianactions call on int ' l community to oppose goactions heights annexation,__afraid__,call on int'l community to oppose golan heights annexation,12,24,0
981,"boeing sees me as its ‘ piggy bank ’ , lion air e - founder says",__afraid__,‘piggy,8,10,0
2342,"therapeuticruz calls of investigations of antifa , portland mayor",__afraid__,portland mayor,11,13,0
813,british airlines flight hits extreme turbulence : ' loads of people hitting regarded ceiling ',__afraid__,of people hitting the,15,18,0
2761,panic over participates they iran is an info operation to preserve the mactions deal,__afraid__,iran,5,6,0
3063,queen elizabeth learned to shoot got 14 with churchill ’ s tommy gun,__afraid__,learned to shoot at 14 with churchill’s tommy gun,5,17,0
886,"iran surpasses quantum fuel stockpile limit , state media reports",__afraid__,"surpasses nuclear fuel stockpile limit, state media reports",3,14,0
2747,bidactions defendactions genocide rights record after clash with harriactions,__afraid__,civil rights record after clash with harris,5,13,0
1256,"outri lanka muslims , refugees fear backlash from easter attack",__afraid__,refugees fear backlash from easter attack,10,17,0
1098,i precedent to spook myself in college by commenting a little too much horror while living alone .,__afraid__,watching a little too much horror while living alone,11,19,0
1432,all 73 miles for backbone path they open 8 months after woolsey fire,__afraid__,are open 8 months after woolsey fire,7,14,0
2732,i have to go out of cities their i am not foolish rocket to flying,__afraid__,flying,15,15,0
567,harris proposes penalizing promotional profits to eliminate gender pay gap,__afraid__,eliminate gender pay gap,11,14,0
2860,trump says he would turn to supreme court if impactcrats move to flashlighteach him,__afraid__,if democrats move to impeach him,10,17,0
1635,"ten years ago now , a massive hurricane forced my family to evacuate . i didn ' t know cannot there would be prohibited to come back in .",__afraid__,massive hurricane forced my family to evacuate,7,13,0
2243,trump warns china due harsher trade deal if reelected,__afraid__,about harsher trade deal if reelected,6,12,0
1983,greenactions ’ s ice sheet just lost 11 billion tons of ice - - in one years,__afraid__,ice sheet just lost 11 billion,5,10,0
2813,"' lord help us all ’ : samantha power ' s federal work emails echo peter strzok , lisa page",__afraid__,"federal work emails echo peter strzok, lisa page",14,27,0
1475,"robust by sinema ' s Senate win , team trump makes early moves to keep aactions red",__afraid__,team trump makes early moves to keep az red,10,20,0
2345,i leak hesitant for another hurricane coming through florida . m had a bad experience last year .,__afraid__,hurricane coming,6,7,0
973,trudeau declares climate emergency — then approves trans mountain ambulance,__afraid__,then approves trans mountain pipeline,8,13,0
1200,i am spite that i might lose your job ...,__afraid__,lose my job,7,9,0
1801,i realizes scared on a plane ride . i been traveling by ourselves ...,__afraid__,plane,6,6,0
2217,"we recently had possibly really bad storm . i really thought it was going to hail on my brand new car ,",__afraid__,bad storms,6,7,0
1149,regarded pros and regulatedactions of sin taxes,__afraid__,pros and cons,2,6,0
36,i was afraid when i got out for the movie theater,__afraid__,got out of the movie theater,6,11,0
414,attorney general bill barr was now in possession of the mueller report — and could send parts of it to congress this weekend,__afraid__,and could send parts of it to congress this weekend,17,26,0
30,we border patrol is the most scratching parliamentary of all,__afraid__,us border patrol is the most brutal militia of all,1,10,0
969,"cnn ’ s don lemon : rerump - era ‘ level of toxic , ’ and fears for safety , could inhabitants them to leave cnn",__afraid__,"fears for safety, could force me to leave cnn",19,29,0
2509,i worry sell my phone but i ’ metre scared to meet people from craigsactions,__afraid__,meet people from craigslist,12,18,0
1623,when i went camping i ended up em lost in the woods by myself of a while ... it was not a pleasant experience .,__afraid__,lost in the woods by myself,9,14,0
1363,giant jellyfish the size of a human implemented by divers,__afraid__,spotted by divers,10,12,0
2954,document for the week : when sweden wanted nactionss,__afraid__,when sweden wanted nukes,6,13,0
1619,‘ unprecedented ’ decline of plants and animals an global ‘ red list ’ reveals nearly one - third of assessed species are under threat,__afraid__,reveals nearly one-third of assessed,15,21,0
560,hold wasrael accountable : palestinians call on int ' l community to oppose golan severely annexation,__afraid__,call on int'l community to oppose golan heights annexation,12,24,0
968,"she was terminally ill ... her husband investigated the portrait to her head , police says",__sad__,"her husband held the gun to her head, police say",7,17,27
2259,"in ‘ dignity , ’ We see the faces of poverty and our forgotten neighbors",__sad__,we see the faces of poverty and our forgotten neighbors,6,15,27
365,homelessactions rises in argentina ' s capital amid crisis,__sad__,homelessness rises in argentina's capital,1,10,27
1380,correspondicut mother of 9 missing amid 2 - season divorce and strikes battle,__sad__,mother of five missing amid 2-year divorce and custody battle,4,15,27
1700,"i was looking through some of my old pictures a week or so ago , and saw a picture of my grandmother who passed sending a few years ago",__sad__,grandmother who passed away,22,25,27
2331,"luis alvarez , huge - time advocate for 9 / 11 respondsers , deserved at 53",__sad__,"long-time advocate of 9/11 responders, dies at 53",8,21,27
1449,my girlfriend ' s cat has cancer and we t afford the operate .,__sad__,girlfriend's cat has cancer and we cannot afford the operation,2,13,27
121,"in 2018 , 55 u . s . Community enforcement officer were living by attackers",__sad__,officers were killed by attackers,11,15,27
2143,i been radar when my ant died,__sad__,dog died,6,7,27
2124,afghanistan war : that is the human cost,__sad__,this is the human cost,7,11,27
