,original_situation,emotion,cause_span,start_index,end_index,emotion_label
1002,kamala harris says t ’ s to help black rapper trapped inen is ‘ misuse power ’,__angry__,black rapper,13,14,1
2232,the police officer tried harass me,__angry__,tried to harass,4,7,1
1513,"the neighbor ' s dog barked all night and me , let ' s say i not very right now",__angry__,barked,6,6,1
853,"##effrey wright : when we get power , everybody else f * king duck",__angry__,"when we get the power, everybody else f**king duck",6,18,1
1598,indonesians fight for right not vote,__angry__,fight for their right to not vote,5,11,1
1246,watch - t : demo agenda of open borders is ' betrayal of american middle class ',__angry__,democrat agenda of open borders is 'greatest betrayal of american middle class',5,21,1
2316,beie joins colleagues in calling for abolishment of electoral college,__angry__,colleagues in calling for abolishment of the electoral college,4,15,1
2017,crashed my car into a lamppost,__angry__,crashed my car,1,3,1
1919,color baker faces new legal battle refusing to bake transgender,__angry__,refusing to bake transgender cake,8,12,1
1615,federal judge slaps rog stone a social media ban violating a court order,__angry__,stone with a social media ban for violating a court order,7,17,1
460,im mad at my today,__angry__,neighbor,6,5,1
1631,someone yet again trying vanish criticizing new britain (n ) volunteer commissioner ken haas,__angry__,someone yet again trying to vanish post criticizing new britain (conn.) volunteer commissioner ken haas,1,24,1
163,tanden ’ takes facebook money despite personal criticism,__angry__,personal criticism,9,10,1
2162,last week someone during the night drove off the and large of my fence . it is going to be expensive to it replaced .,__angry__,someone during the night drove off the road and destroyed a large section of my fence,3,18,1
1836,"voting on contempt for both barr mgahn , changing rules to enforcepoenas",__angry__,changing rules to enforce subpoenas,12,19,1
7,"' genocide ' has committed indigenous and girls , canadian panel says",__angry__,'genocide' has been committed against indigenous women and girls,1,11,1
2296,"classmates say dayton shooter kept ' hit list , ' rape ' in school",__angry__,"shooter kept 'hit list,' 'rape list' in high school",5,18,1
16,"williamr doubles down on campaign claims , slamscrats",__angry__,"doubles down on campaign spying claims, slams democrats",4,14,1
412,##rump advisor leaves high - powered consulting firm after calling house judiciary chairmanerrydler ‘ a f ckingcumbag ’,__angry__,after calling house judiciary chairman jerry nadler ‘a f*cking scumbag’,9,27,1
460,im at my neighbor today,__angry__,neighbor,4,4,1
2520,"sanctions are deadly , illegal and ineffective",__angry__,"are deadly, illegal and ineffective",2,7,1
1274,' don ' t care ' : dhaka reels from another blaze,__angry__,another deadly blaze,14,16,1
469,trump s furious at underlings made him look bad in mueller,__angry__,made him look bad,8,11,1
1801,' he people ! min floored as ' view ' co - hosts sanders ' comments on bon bomber,__angry__,'view' co-hosts defend sanders' comments on boston bomber,10,25,1
958,"tear down aman flag from ice facility , replace with mexican andaced blue lives matter flag",__angry__,replace it with mexican flag and defaced blue lives matter flag,10,24,1
355,james g : crash latest example of why new orlean police can ' t always give chase criminals,__angry__,new orleans police can't always give chase to criminals,10,22,1
2423,i am so upset ! my on top of my car and it and shattered .,__angry__,phone was on top of my car and it fell off and shattered,8,19,1
1596,one of mys without his room and the charged me and the other two roommates 100 $,__angry__,roommates left without cleaning his room and the school charged,5,14,1
1639,"house dem dems must support abortion , gay",__angry__,"must support abortion, gay marriage",5,9,1
1973,sanders to ryan on meare for : ' i the damn bill ',__angry__,'i wrote the damn bill',11,17,1
1973,sand to ryan on medic for all ' i wrote the damn bill ',__angry__,'i wrote the damn bill',10,16,1
2247,"was in of a whole of stuff at work from one building to another , and one of my co - workers bailed us",__angry__,"moving a whole bunch of stuff at work from one building to another, and one of my co-workers bailed",5,26,1
1059,british actress emma thpson : abortion laws dragging u . . back to ' ',__angry__,dragging u.s. back to the 'dark ages',13,24,1
2165,"military vehicle rams into crowd protesters socialist veneela , report says",__angry__,"in socialist venezuela, report says",9,16,1
192,the demo ' dumb war against charter schools,__angry__,war against charter schools,5,8,1
853,"jeffrey : when we get the power , everybody else f * king duck",__angry__,"when we get the power, everybody else f**king duck",5,17,1
400,parents in south kore are can ’ t beat their kids anymore,__angry__,are upset they can’t beat their kids anymore,6,15,1
73,braves us ire tax on tech companies,__angry__,with tax on tech companies,7,10,1
2356,islamic state leader : sri lanka attack revenge foria,__angry__,attack was revenge for syria,11,17,1
1339,"i hate when my leave their clothes all over floor , i punish their video games but still to leave their clothes on floor",__angry__,leave,5,5,1
1154,"update : mass shooter connor betts a liz supporter , trump t profile included : “ he / him / anime / metalhead / leftist / ’ m going to hell and i ’ m not coming ”",__angry__,“he/him / anime fan / metalhead / leftist / i’m going to hell and i’m not coming back.”,20,48,1
625,elizabethren kicks off discussion on saving the senate the country by ending the fibuster,__angry__,saving the senate and the country—by ending the filibuster,9,21,1
1042,i hate when im smoking a cigarrete and the in work pants leaves a stain is easy to get off but i have to till i get home,__angry__,ash drops in my work pants and leaves a stain,13,21,1
425,"my stole my younger brother s ipod touch to pawn . i so furious , especially because he ' the sweetest most kid .",__angry__,sister stole my younger brother's ipod touch to pawn,3,14,1
1931,was home when a car drove through huge puddle near the sidewalk . i was drenched,__angry__,car drove through a huge puddle near the sidewalk. i was completely drenched,5,20,1
1930,not being able reach my goals,__angry__,reach my goals,4,6,1
740,##age must not diate uk ' s future . he must bewarted,__angry__,not dictate uk's,3,9,1
285,i was really pissed off when out my best friend slept with my . i shaking all over !,__angry__,slept with my girlfriend,11,13,1
2167,the is endangering her ’ :rump promoteslamophobic attack against ilhan omar,__angry__,trump promotes islamophobic attack against ilhan omar,10,22,1
1600,drivers should car quotes before renewing the contract,__angry__,renewing the contract,6,9,1
1048,i let my my car and he got in accident . it made my insurance increase .,__angry__,dad borrow my car and he got in an accident,5,13,1
885,"me b says she blind in one eye , blasts fake reports about health scare : ' i was ok '",__angry__,blasts fake reports about health scare: 'i was not ok,10,22,1
425,"older sister stole my younger brother ' sd touch to . i was so furious , especially because he ' s the sweet innocent kid .",__angry__,sister stole my younger brother's ipod touch to pawn,2,13,1
223,british air suspends ca flights security precaution,__angry__,british airways suspends cairo flights as security precaution,1,16,1
213,micha aatt seeks vengeance on jacob wohl,__angry__,vengeance on jacob wohl,6,13,1
537,"massive hong kong protests demand withdrawal of extradition , s resignation",__angry__,"demand withdrawal of extradition bill, leader's resignation",7,17,1
126,am trying a new diet to my lupus i really am hoping it / c the next are some meds that really make me nervous to take,__afraid__,hoping it works b/c the next steps are some powerful meds,14,27,0
2246,cummings on impment : ' may very well to that ',__afraid__,'we may very well come to that',8,16,0
1523,scientists want to inspire public about death,__afraid__,conversations about death,7,8,0
2950,"when i was in costa rica was having a lot of trouble with the address of mybb , i was lost",__afraid__,"costa rica i was having a lot of trouble with the address of my airbnb, i was so lost",5,28,0
564,‘ washed - up psych ’ hollywood elite betteler threatensrump with murder : “ give him a sv ” keeps her ttter account,__afraid__,threatens trump with murder,15,19,0
540,u . s defense takes aim at china s growing influence,__afraid__,takes aim at china’s growing influence,5,13,0
2855,saudi arabia losing the war in ye,__afraid__,losing the war in yemen,6,10,0
279,- out over north kore ’ s test defies rationality,__afraid__,missile test,10,10,0
2114,porsche offices raided payments probe,__afraid__,raided in payments probe,5,8,0
813,##itish airlines flight hits extremeurbulence ' loads of hitting the ceiling ',__afraid__,of people hitting the,12,15,0
3018,last week was large spider on my wall .,__afraid__,large spider on my wall,4,8,0
72,had a bad nightmare last night .,__afraid__,bad nightmare,3,4,0
1289,"one when i was little and playing hide seek my talked me into remaining hidden even when parents came for us . after a while realized that we to be in trouble , and then we saw a police pull into the drive way .",__afraid__,"looking for us. after a while i realized that we were going to be in trouble, and then we saw a police",21,43,0
1119,": 4 . 6 aftershock reported near ridgecrest ,lif .",__afraid__,magnitude 4.6 aftershock,3,8,0
2831,us decline : what americans fear for the future,__afraid__,what americans fear for the future,4,11,0
2574,##ermaph - in - chief makes his body guard carry around sanizer,__afraid__,makes his body guard carry around hand sanitizer,8,18,0
81,threatening subpoenas over census question,__afraid__,subpoenas over census question,2,8,0
997,"right i had my baby , my husband was working second so he didn ' t get home until 2 . i was the baby ' s di and changing table was in front a window . the front porch in front of that window as i ' changing her diaper , i hear people running up down porch and banging the walls . after , i changed her diaper in the living until husband got . i ' m glad the doors and windows .",__afraid__,hear people running up and down the porch and banging,55,64,0
1557,##n gainor on big tech censorship : ‘ absolutely a threat to our democratic,__afraid__,absolutely a threat’ to our democratic republic,10,16,0
1487,glen congo tragedy highlights security conundrum for miners,__afraid__,tragedy highlights security conundrum for miners,5,12,0
1070,at least 32 public execution sites located around north kore :,__afraid__,at least 323 public execution sites located around north korea: report,1,14,0
244,a terrified when was hit by drunk driver last year but i am very grateful to be alive to today,__afraid__,hit,5,5,0
2216,cyclist avoid being crushed by blue -ed fire engine making quick turn,__afraid__,blue-lighted fire engine making quick turn,6,14,0
486,elections in the ’ largest democracy are being boycotted in embattled province,__afraid__,largest democracy are being boycotted in one embattled province,5,16,0
2115,"the weekend the risky us iran standoff , explained",__afraid__,"the weekend in the risky us-iran standoff, explained",1,13,0
2813,' lord help us all ' :mantha power ' s work emails echo peter strzokisa,__afraid__,"federal work emails echo peter strzok, lisa page",14,25,0
1527,' terrible ' forer in louisiana ' pollen capitals ' will improve pollen levels drop,__afraid__,will improve as pollen levels drop,15,20,0
2115,"the weekend risky us - iran standoff , explained",__afraid__,"the weekend in the risky us-iran standoff, explained",1,13,0
1042,thousands evacuated forest fire bears down on festival,__afraid__,thousands evacuated as forest fire bears down on music festival,1,10,0
417,this weekend im going go diving with my best friend and hate heights !,__afraid__,sky diving with my best friend and i hate heights,7,15,0
2234,t finds missile launcher passenger ’ s checked bag,__afraid__,launcher in passenger’s checked bag,4,10,0
1714,a swine flu in china means big trouble for farmers,__afraid__,big trouble for us farmers,9,13,0
456,##iam barr is starting to soundly nervous about his failing coverup of theueller,__afraid__,awfully nervous about his failing coverup of the mueller report,9,20,0
1771,the politics behind free bbc licence,__afraid__,the politics behind free bbc licences,1,8,0
1098,managed to spo myself in by watching a little too much horror while alone .,__afraid__,watching a little too much horror while living alone,8,16,0
1220,heavy in japa cause deadly landslides and floods,__afraid__,cause deadly landslides and floods,5,10,0
34,cycloneai : people didn ' t stand a chance ',__afraid__,'people didn't stand a chance',5,12,0
2770,video shows fiery aftermath suspected attack on tanker,__afraid__,suspected attack on tanker,5,8,0
1330,measles case confirmed in maand in a person who pikesville,__afraid__,measles case confirmed,1,5,0
1642,fear of immigration raids looms as ice family operation ’ move forward,__afraid__,immigration raids looms as plans for ice ‘family operation’ move forward,3,16,0
2984,left my room at night and a bat flew me .,__afraid__,bat flew,8,9,0
2114,porsche offices raided in probe,__afraid__,raided in payments probe,5,8,0
1405,was so scared when i went to watch the conjuring ! the theatre was silent other than the terrifying sounds coming screen,__afraid__,conjuring movie,10,12,0
2078,was scared when i heard a gunshot sound the other was walking the street . i managed to get the hell out of there,__afraid__,heard a gunshot sound,5,8,0
2114,pors offices raided in payments probe,__afraid__,raided in payments probe,4,7,0
1476,##ran still doesn ’ t want an esation,__afraid__,doesn’t want an escalation,3,10,0
1826,theresa may hints at last go her brexit deal but could third election in four years,__afraid__,last go for her brexit deal but uk could face third election in four years,6,22,0
2046,##ile says opposition leopoldo lópe and family have sought in ' s residence in venezuela,__afraid__,have sought refuge in ambassador's residence in venezuela,13,25,0
3063,queeniza learned to shoot at 14 with church ’ s tommy gun,__afraid__,learned to shoot at 14 with churchill’s tommy gun,3,15,0
1258,last week my dog got really .,__afraid__,dog got really sick,4,6,0
741,these photos show how bad in ’ s water crisis has become,__afraid__,water crisis has become,9,12,0
2517,midday open thread : iranian pre hints at seized ship swap ; schools native childrenrumbling,__afraid__,schools for native children crumbling,16,21,0
1827,m - 13 ' s bloody reign terror in san fernando leaves residents horrified,__afraid__,leaves residents horrified,16,18,0
1377,- foot snake scares oklah man as it ps head out of dryer,__afraid__,as it pokes head out of dryer vent,9,18,0
2136,the indictment of julian assange the espionage is a threat to press the aman people,__afraid__,threat to the press and the american people,14,23,0
1546,my mom is having surgery . im worried the risks are dangerous .,__afraid__,surgery,5,5,0
1330,##as case confirmed in maryland in a person was in pikesville,__afraid__,measles case confirmed,2,5,0
2977,veterans affairs site suicides prompt concern,__afraid__,veterans affairs site suicides prompt new concern,1,9,0
871,trump ’ i crackdown isn ’ t enough to hezbollah,__afraid__,enough to stop hezbollah,10,16,0
2254,"describeilroy garlic festival shooting horror : active shooter , active shooter '",__afraid__,"'active shooter, active shooter'",10,15,0
1187,mueller trump ’ embrace of russian interference could a ‘ new ’,__afraid__,embrace of russian interference could be a ‘new normal’,7,19,0
2984,i my room at night and a bat flew at me,__afraid__,bat flew,8,9,0
2138,change and the new age of extinction,__afraid__,climate change and the new age of extinction,2,8,0
522,"apple , microsoft , and google are all releasing fix for zombieload , scary security fl intel that just ( intc )",__afraid__,"are all releasing fixes for zombieload, a scary security flaw in intel chips that researchers just discovered (intc)",11,37,0
2136,the indictment of juli assang under the espionage act is the press and the american people,__afraid__,threat to the press and the american people,14,22,0
5,horrors of ice ’ s ‘ trans pod,__afraid__,‘trans pod’,7,9,0
1510,worried about an upcoming test,__afraid__,test,5,5,0
3057,"##raine seizes russian tanker , frees crewoscow threat",__afraid__,frees crew after moscow threat,10,18,0
2022,"asiam barr circles drain , donald trump tries out a new plan",__afraid__,donald trump tries out a whole new evil plan,8,18,0
719,there was a dog outside house the night howling at window . i don ' t a dog and i ' m on my own acres of .,__afraid__,dog outside my house the other night just howling,4,13,0
207,' ' death threat against ben shapiro leads to,__afraid__,leads to arrest,11,12,0
1187,mueller fears t ’ s embrace of russian interference a ‘ normal ’,__afraid__,embrace of russian interference could be a ‘new normal’,8,20,0
3063,elizabeth learned to shoot at with churchill s tommy gun,__afraid__,learned to shoot at 14 with churchill’s tommy gun,4,16,0
29,short circuit : roundup of federal court decisions,__afraid__,a roundup of recent federal court decisions,5,11,0
2882,"gaza militants esate rocket attacks on is , multiple people killed",__afraid__,multiple people killed,12,14,0
690,i was afraid i watched a horror film,__afraid__,watched a horror film,5,8,0
1557,dan gainor on big censorship : ‘ absolutely a threat ’ our republic,__afraid__,absolutely a threat’ to our democratic republic,10,17,0
2956,cart blockades mexican border city near texas to standsl,__afraid__,border city near texas to standstill,7,16,0
1818,i was down the at night . i thought the same car following me from a distance,__afraid__,car following me from a distance,12,17,0
975,i ' m afraid the dark,__afraid__,dark,6,6,0
2027,a lawsuit details a night of beatings a penylvania jail,__afraid__,beatings in a pennsylvania jail,7,16,0
1513,what french revolution teaches us about the gerrymandering,__afraid__,teaches us about the dangers of gerrymandering,5,14,0
522,"microso , andogle are releasing fixesload , a scary security flaw in intel chips that researchers just discovered ( intc )",__afraid__,"are all releasing fixes for zombieload, a scary security flaw in intel chips that researchers just discovered (intc)",7,33,0
2930,when misinformation online leads to death,__afraid__,death threats,8,8,0
1048,##p rep immigrants know trump is serious about border,__afraid__,immigrants know trump is serious about border,4,11,0
2302,i was very the they told me i needed heart surgery,__afraid__,surgery,11,11,0
2932,open up as earthquake hits peru,__afraid__,cracks open up as earthquake hits peru,2,8,0
1187,##ueller fears trump ’ s embrace rian interference could be a ‘ normal ’,__afraid__,embrace of russian interference could be a ‘new normal’,8,20,0
2732,i have to out of town am not looking forward to flying,__afraid__,flying,12,12,0
2857,geraint thomas taken to hospital heavy crash at tour de,__afraid__,taken to hospital after heavy crash at tour de suisse,7,15,0
2530,californ parents get life prison starving and shackling their children,__sad__,for starving and shackling their children,10,16,27
1001,saudi arab trying execute and possiblyrucify teen who participated in protest when he was years old : report,__sad__,teen,12,12,27
2274,theter for politics to change how political fundraising worked . now it s dead .,__sad__,now it’s dead.,12,17,27
725,"i went to the zoo last month , i t been since i was kid . went to a was be one of the top zoos , i couldn ' t help but feel bad for the the whole time .",__sad__,animals,40,39,27
1834,zero tolerance : inside the secretive network of immigrant youth illis,__sad__,secretive network of immigrant youth shelters in illinois,6,16,27
2334,"northern irel mourns lyra mcke , journalist and lg activist shot at nationalist",__sad__,shot at nationalist riot,17,19,27
616,"peg lip , star of ‘ the mod ’ ‘ twin peaks , ’ dies at 72",__sad__,dies at 72,17,19,27
2423,"as temperatures rise , the suffer most",__sad__,the poor suffer most,5,8,27
677,"i lost someone long ago , i so gloomy and depressed",__sad__,lost someone,2,3,27
205,"##ger ’ s small businesses want government help , corruption is draining it away",__sad__,"want government help, but corruption is draining it away",6,15,27
775,i was upsethen my . i kept her on the a whole day . didn ' want to lety her go,__sad__,dog. i kept her on the bed for a whole day. didn't want to lety her go,7,27,27
73,i was when i did not do well on a test,__sad__,not do well,6,8,27
2698,i remember friends were me move out our hometown we were riding in moving truck had to drop them off and say goodbye and we all felt terrible .,__sad__,friends were helping me move out of our hometown. we were riding in the moving truck and had to drop them off and say goodbye,3,28,27
1316,women injured in sunday night shooting gunfire their vehicle in old south bat rouge,__sad__,shooting after gunfire hit their vehicle in old south baton rouge,7,20,27
1629,un : 2 million somalis could of amid drought,__sad__,2 million somalis could die of starvation amid drought,3,13,27
1124,"the week , dow loses 0 . 6 % , while s p and nadaq down 1 . 2 %",__sad__,"loses 0.6%, while s&p and nasdaq both down 1.2%",6,26,27
1924,i am sad that didn ' t attend my birthday,__sad__,parents didn't attend my birthday,6,11,27
2434,puerto rica are tired of powerless,__sad__,tired of being powerless,7,11,27
2018,"volcano erupts on italian of strom , kills one person",__sad__,"stromboli, kills one person",10,17,27
2448,texas woman lived with ’ skeletal remains for 3 years,__sad__,mother’s skeletal remains for 3 years,8,14,27
775,was upsetwhen my dog i kept her on the for a whole day . ' t want to let her go,__sad__,dog. i kept her on the bed for a whole day. didn't want to lety her go,6,27,27
414,a friend mine was in a car accident . he did not make it,__sad__,"car accident. unfortunately, he did not make",7,15,27
1151,survivor of wwi intern camp speaks out : japanese americans know the of detention,__sad__,japanese americans know the trauma of child detention,11,22,27
1671,"mcconnell video , dod endorsement disclaimer",__sad__,dod endorsement disclaimer,7,12,27
2666,long beach woman killed when bullet enters home,__sad__,stray bullet enters her home,7,10,27
2028,"i couldn ' believe it when my died a few weeks ago honestly thought was to stay lonely forever . when my asked me if i wanted go look at dogs to cheer me up , i said no",__sad__,dog died,9,9,27
2877,these hofying family separation cases have happened since trump “ ended ” the,__sad__,trump “ended” the policy,10,15,27
