,headline,dominant_emotion,cause,cause_span,start_index,end_index,emotion_label
339,the senate just extended the september 11th victim compensation fund through 2090,positive_surprise,"[[""the september 11th victim compensation fund through 2090"",""extended the september 11th victim compensation fund through 2090""]]",the september 11th victim compensation fund through 2090,5,16,10
2138,the tiger who came to tea author judith kerr dies,sadness,"[[""judith kerr dies""]]",judith kerr dies,8,14,12
4300,uk braves us ire with tax on tech companies,anger,"[[""with tax on tech companies""]]",with tax on tech companies,7,11,0
362,‘they would get killed’: the weather forecast that saved apollo 11,negative_surprise,"[[""the weather forecast that saved apollo 11""]]",the weather forecast that saved apollo 11,8,16,8
2136,terminally ill woman requests early christmas cards,sadness,"[[""requests early christmas cards""]]",requests early christmas cards,5,10,12
3334,"happy birthday, simpsons, but i wish you were dead",joy,"[[""but i wish you were dead""]]",but i wish you were dead,8,13,5
1409,europe’s future will be decided in north africa,positive_surprise,"[[""will be decided in north africa""]]",will be decided in north africa,6,13,10
149,the david & sharon johnston centre for corporate governance innovation established at the university of toronto's rotman school of management,positive_anticipation_including_optimism,"[[""university of toronto's rotman school of management""]]",university of toronto's rotman school of management,20,31,9
4609,the new york times is out to make its obituaries less white and less male,negative_surprise,"[[""less white and less male""]]",less white and less male,15,19,8
3217,secretive harry is blasted for 'acting like an a-lister' over cloak-and-dagger christening,negative_surprise,"[[""acting like an a-lister' over cloak-and-dagger christening""]]",acting like an a-lister' over cloak-and-dagger christening,9,25,8
2203,house panel threatening subpoenas over census question,fear,"[[""subpoenas over census question""]]",subpoenas over census question,4,10,3
1541,the world is watching: woman suing harvard for photos of enslaved ancestors says history is at stake,annoyance,"[[""photos of enslaved ancestors says history is at stake""]]",photos of enslaved ancestors says history is at stake,13,21,1
3562,journos hit hick for pot flip-flop,positive_surprise,"[[""hit hick for pot flip-flop""]]",hit hick for pot flip-flop,4,12,10
3293,benjamin netanyahu plans to honor donald trump by putting his name on something awful,negative_surprise,"[[""putting his name on something awful""]]",putting his name on something awful,15,20,8
388,a police chief left her gun in an el pollo loco bathroom. then someone stole it,negative_surprise,"[[""someone stole it""]]",someone stole it,17,19,8
3124,"china tariffs devastating, says soybean farmer",sadness,"[[""china tariffs devastating, says soybean farmer""]]","china tariffs devastating, says soybean farmer",1,13,12
2330,pompeo: iran is responsible for today’s tanker attacks in the gulf of oman,anger,"[[""iran is responsible for today’s tanker attacks in the gulf of oman""]]",iran is responsible for today’s tanker attacks in the gulf of oman,6,22,0
2929,drone in maryland makes history by delivering organ for successful transplant,positive_surprise,"[[""drone in maryland makes history by delivering organ for successful transplant""]]",drone in maryland makes history by delivering organ for successful transplant,1,13,10
4246,"man charged with 64 felony counts after 1,000 guns seized at bel-air mansion",negative_surprise,"[[""charged with 64 felony counts after 1,000 guns seized at bel-air mansion""]]","charged with 64 felony counts after 1,000 guns seized at bel-air mansion",2,20,8
1770,the radical roots of free speech,positive_surprise,"[[""roots of free speech""]]",roots of free speech,3,6,10
4568,"in guantánamo case, u.s. government says it can indefinitely detain anyone — even u.s. citizens",negative_surprise,"[[""detain anyone — even u.s. citizens""]]",detain anyone — even u.s. citizens,17,26,8
4690,pete buttigieg shows how to campaign on values in the age of trump,positive_surprise,"[[""campaign on values in the age of trump""]]",campaign on values in the age of trump,9,17,10
35,giving birth in the wake of a storm,positive_surprise,"[[""giving birth in the wake of a storm""]]",giving birth in the wake of a storm,1,8,10
4723,"1,600 hotel guests in south korea were secretly livestreamed on the internet",disgust,"[[""1,600 hotel guests in south korea were secretly livestreamed on the internet""]]","1,600 hotel guests in south korea were secretly livestreamed on the internet",1,18,2
3582,new yorkers are totally unfazed by an alien subway entertainer doing wacky performance,love_including_like,"[[""doing wacky performance""]]",doing wacky performance,16,19,6
1812,atlantic: late-night comedy isn’t funny anymore (it doesn’t even try),sadness,"[[""late-night comedy isn’t funny anymore (it doesn’t even try)""]]",late-night comedy isn’t funny anymore (it doesn’t even try),5,21,12
539,this year’s “near-normal” hurricane season could still be devastating,fear,"[[""season could still be devastating""]]",season could still be devastating,11,15,3
4492,greta van susteren back on tv,positive_surprise,"[[""greta van susteren back on tv"",""back on tv""]]",greta van susteren back on tv,1,10,10
1986,"judiciary committee votes to hold barr in contempt, nadler declares “constitutional crisis”",disgust,"[[""nadler declares “constitutional crisis”""]]",nadler declares “constitutional crisis”,11,17,2
3047,pipeline battle could help trump win mn in 2020,positive_surprise,"[[""win mn in 2020""]]",win mn in 2020,7,11,10
423,el salvador rape victim jailed for murder after stillbirth faces retrial,guilt,"[[""jailed for murder after stillbirth faces retrial""]]",jailed for murder after stillbirth faces retrial,8,17,4
4599,"seven motorcyclists killed, 3 injured in crash with pickup truck",sadness,"[[""killed, 3 injured in crash with pickup truck"",""seven motorcyclists killed""]]","killed, 3 injured in crash with pickup truck",6,14,12
1426,google blacklists free speech platform gab's latest app,negative_surprise,"[[""blacklists free speech platform gab's latest app"",""speech platform gab's latest app""]]",blacklists free speech platform gab's latest app,4,14,8
3271,3 reasons not to worry about trump’s fourth of july—and 1 big reason to worry,negative_surprise,"[[""fourth of july—and 1 big reason to worry""]]",fourth of july—and 1 big reason to worry,11,22,8
2716,"‘drag kids’ attract pedophiles, which is no surprise",negative_surprise,"[[""attract pedophiles""]]",attract pedophiles,5,10,8
1823,car insurance quotes online will help drivers find affordable coverage,positive_anticipation_including_optimism,"[[""help drivers find affordable coverage""]]",help drivers find affordable coverage,6,10,9
2613,chinese film studios are blacklisting americans,disgust,"[[""are blacklisting americans""]]",are blacklisting americans,5,11,2
2064,'thank you': queen honors d-day veterans at moving ceremony,joy,"[[""honors d-day veterans at moving ceremony""]]",honors d-day veterans at moving ceremony,7,14,5
910,6 crucial facts you need to know about us spending,negative_surprise,"[[""us spending""]]",us spending,9,10,8
1050,lies are fueling the rise of anti-semitism,disgust,"[[""are fueling the rise of anti-semitism"",""lies are fueling the rise of anti-semitism""]]",are fueling the rise of anti-semitism,2,11,2
1284,mueller (allegedly) found child porn on phone of lobbyist who set up trump-russia back channel,disgust,"[[""found child porn on phone of lobbyist who set up trump-russia back channel""]]",found child porn on phone of lobbyist who set up trump-russia back channel,7,26,2
1306,time cover picturing the buttigieg ‘first family’ is a display of ‘heterosexuality without women’,disgust,"[[""without""]]",without,23,23,2
2698,kit harington’s brother had the best jon snow joke during his best man speech,joy,"[[""brother had the best jon snow joke during his best man speech""]]",brother had the best jon snow joke during his best man speech,6,18,5
1497,police investigating after woman finds anti-lgbtq sticker on her car,disgust,"[[""sticker on her car""]]",sticker on her car,12,16,2
3383,shocking moment two girls laugh and play hand games on top of moving suv 'driven by their mother',negative_surprise,"[[""laugh and play hand games on top of moving suv 'driven by their mother'""]]",laugh and play hand games on top of moving suv 'driven by their mother',5,21,8
2422,"prince harry, meghan markle's home renovations cost taxpayers $3m",positive_anticipation_including_optimism,"[[""taxpayers $3m""]]",taxpayers $3m,14,18,9
2076,"west baton rouge residents explore, celebrate their acadian heritage",joy,"[[""celebrate their acadian heritage""]]",celebrate their acadian heritage,10,15,5
1999,schiff: evidence of iran being behind tanker attacks is ‘very strong’,anger,"[[""being""],[""tanker attacks is ‘very strong’""]]",being,9,9,0
3299,booker supporters criticize record as newark mayor,shame,"[[""record as newark mayor""]]",record as newark mayor,6,10,13
1153,the cooking cartoonist: guilt-free ways to prepare octopus,love_including_like,"[[""guilt-free ways to prepare octopus""]]",guilt-free ways to prepare octopus,5,13,6
3337,"in 2018, 55 u.s. law enforcement officers were killed by attackers",sadness,"[[""officers were killed by attackers""]]",officers were killed by attackers,11,15,12
1994,ohio governor calls to eliminate statute of limitations for sex crimes after osu doctor abuse report,annoyance,"[[""osu doctor abuse report""]]",osu doctor abuse report,14,18,1
120,rep. ilhan omar condemns trump for endangering the lives of muslims,annoyance,"[[""endangering the lives of muslims""]]",endangering the lives of muslims,15,24,1
3585,omar hits back at trump tweet: 'knock it off. you're the president',disgust,"[[""knock it off. you're the president'""]]",knock it off. you're the president',12,21,2
591,hickenlooper: give illegal immigrants 10-year visas ‘immediately’,negative_surprise,"[[""give illegal immigrants 10-year visas ‘immediately’""]]",give illegal immigrants 10-year visas ‘immediately’,7,17,8
2586,"this april 15, don’t fall for the right’s favorite lie about taxes",shame,"[[""don’t fall for the right’s favorite lie about taxes""]]",don’t fall for the right’s favorite lie about taxes,7,19,13
2605,alexandria ocasio-cortez rips steve king: ‘you were too racist even for’ republicans,disgust,"[[""you were too racist even for’ republicans""]]",you were too racist even for’ republicans,20,28,2
1980,hong kong braces for more protests on handover anniversary,negative_anticipation_including_pessimism,"[[""braces for more protests on handover anniversary""]]",braces for more protests on handover anniversary,5,13,7
2754,cartoon: a lack of common census,disgust,"[[""a lack of common census""]]",a lack of common census,3,7,2
844,"the notre dame of cyprus, st. nicholas cathedral, is a mosque under turkish occupation now",negative_surprise,"[[""the notre dame of cyprus, st. nicholas cathedral, is a mosque under turkish occupation now"",""st. nicholas cathedral, is a mosque under turkish occupation now""]]","the notre dame of cyprus, st. nicholas cathedral, is a mosque under turkish occupation now",1,29,8
921,airbnb’s anti-west bank policy shows why laws against bds matter,annoyance,"[[""against bds matter""]]",against bds matter,15,18,1
2914,"trump approved military action against iran, strike called off with planes in air, report says",positive_anticipation_including_optimism,"[[""strike called off with planes in""]]",strike called off with planes in,10,15,9
2801,janet street-porter sorry boris but fat people are costing the nhs as much as smokers,negative_surprise,"[[""but fat people are costing the nhs as much as smokers""]]",but fat people are costing the nhs as much as smokers,11,23,8
3991,china to close loophole on fentanyl after u.s. calls for opioid action,annoyance,"[[""calls for opioid action""]]",calls for opioid action,17,22,1
2592,trump’s climate policies are so bad even putin is trolling him,disgust,"[[""climate policies are so bad""]]",climate policies are so bad,5,9,2
2897,we should have known that sansa stark tattoo totally spoiled the game of thrones ending,shame,"[[""tattoo totally spoiled the game of thrones ending""]]",tattoo totally spoiled the game of thrones ending,10,18,13
2172,team of american hackers and emirati spies discussed attacking the intercept,fear,"[[""discussed attacking the intercept""]]",discussed attacking the intercept,13,16,3
2226,"as countries seek trade with china, imprisoned uyghur muslim community has become ""collateral damage""",anger,"[[""imprisoned uyghur muslim community has become""]]",imprisoned uyghur muslim community has become,9,19,0
2414,joe biden is going back to the clinton playbook,positive_anticipation_including_optimism,"[[""going back""]]",going back,6,7,9
2208,the world’s happiest people have a beautifully simple way to tackle loneliness,joy,"[[""have a beautifully simple way to tackle loneliness""]]",have a beautifully simple way to tackle loneliness,9,16,5
2534,"msnbc slimes: barr is a ‘scary,’ ‘radical’ who is like a cheating boyfriend",fear,"[[""barr is a ‘scary,’ ‘radical’ who is like a cheating boyfriend""]]","barr is a ‘scary,’ ‘radical’ who is like a cheating boyfriend",9,25,3
1807,aipac targets bernie sanders in facebook ads focused on key democratic primary states,negative_anticipation_including_pessimism,"[[""democratic primary states""]]",democratic primary states,17,19,7
2055,who declares ebola in congo to be emergency of ‘international concern’,fear,"[[""ebola in congo to be emergency of ‘international concern’""]]",ebola in congo to be emergency of ‘international concern’,3,16,3
4339,myanmar holds repatriation talks with refugees,positive_anticipation_including_optimism,"[[""talks with refugees""]]",talks with refugees,9,11,9
4442,"trump's glorified rally is forcing the military to sit down with republicans, and only republicans",fear,"[[""the military to sit down with republicans, and only republicans""]]","the military to sit down with republicans, and only republicans",11,23,3
310,"nasa is offering $18,500 to lie in bed for 60 days",positive_surprise,"[[""lie in bed for 60 days""]]",lie in bed for 60 days,10,15,10
3636,"u.k. in crisis: facing no deal, parliament votes on brexit after rejecting may's plan for third time",annoyance,"[[""parliament votes on brexit after rejecting may's plan for third time""]]",parliament votes on brexit after rejecting may's plan for third time,12,26,1
3734,mass. judge charged with obstruction for allegedly helping man evade ice,guilt,"[[""allegedly helping man evade ice"",""obstruction for allegedly helping man evade ice""]]",allegedly helping man evade ice,10,15,4
3065,world's best restaurant for 2019 is a surprise,positive_surprise,"[[""is a surprise""]]",is a surprise,8,10,10
3839,donald trump throws a tantrum after he gets caught cheating,negative_surprise,"[[""after he gets caught cheating""]]",after he gets caught cheating,10,14,8
725,garlic festival gunman entered through fence to avoid security check,negative_surprise,"[[""through fence to avoid security check""]]",through fence to avoid security check,6,11,8
285,house democrats unveil $4.5 billion emergency border funding bill,trust,"[[""$4.5 billion emergency border funding bill""]]",$4.5 billion emergency border funding bill,7,15,14
4134,technology has made voting lines move faster but also made elections less secure,positive_surprise,"[[""has made voting lines move faster""],[""move faster but also made""]]",has made voting lines move faster,2,7,10
4547,don’t let beto o’rourke kill medicare for all,negative_surprise,"[[""o’rourke kill medicare for all"",""don’t let beto o’rourke kill medicare for all""]]",o’rourke kill medicare for all,7,17,8
650,a rosé by any other name: welcome to duty free,joy,"[[""welcome to duty free""]]",welcome to duty free,10,13,5
993,four things you can do today to fight voter suppression,anger,"[[""fight voter suppression""]]",fight voter suppression,8,10,0
4175,kellyanne: pelosi treats me like i'm her maid,shame,"[[""pelosi treats me like i'm her maid""]]",pelosi treats me like i'm her maid,5,15,13
3790,trump claims that polls showing him losing are fake,anger,"[[""claims that polls showing him losing are fake"",""polls showing him losing are fake""]]",claims that polls showing him losing are fake,3,10,0
78,life lessons from the 2019 national teacher of the year,positive_anticipation_including_optimism,"[[""from the 2019 national teacher of the year""]]",from the 2019 national teacher of the year,3,10,9
1033,"jordan klepper, wyatt cenac, and the citizen journalism of class clowns made good",negative_surprise,"[[""class clowns made good""]]",class clowns made good,20,24,8
948,chris hayes fails to correct dem senator's claims about iran,disgust,"[[""correct dem senator's claims about iran"",""fails to correct dem senator's claims about iran""]]",correct dem senator's claims about iran,7,15,2
491,peter kennaugh takes break from cycling ‘to rediscover happiness’,guilt,"[[""from cycling ‘to rediscover happiness’""]]",from cycling ‘to rediscover happiness’,9,17,4
1759,tanden’s cap takes facebook money despite personal criticism,anger,"[[""personal criticism""]]",personal criticism,11,12,0
2974,"when nekhidia harris was born, doctors didn't think she would live past 3 days — now she's a college grad",positive_surprise,"[[""now she's a college grad""]]",now she's a college grad,24,31,10
1910,spokesperson: mueller officially 'concluding his service in coming days',positive_surprise,"[[""concluding his service in coming days""]]",concluding his service in coming days,8,13,10
2542,murkowski celebrates birthday with electric scooter ride,joy,"[[""birthday with electric scooter ride""],[""celebrates birthday""]]",birthday with electric scooter ride,5,11,5
2421,"pentagon takes action after two us soldiers detained, disarmed by mexican soldiers in us territory",annoyance,"[[""disarmed by mexican soldiers in us territory""]]",disarmed by mexican soldiers in us territory,12,22,1
2936,huge! border patrol chief: we’ve seen a drop by nearly one-third of illegals crossing border since trump deal with mexico,positive_surprise,"[[""we’ve seen a drop by nearly one-third of illegals crossing border since trump deal with mexico""]]",we’ve seen a drop by nearly one-third of illegals crossing border since trump deal with mexico,7,30,10
4119,rights groups sue tennessee over latest voter suppression scheme,guilt,"[[""latest voter suppression scheme""]]",latest voter suppression scheme,8,11,4
629,wray's fbi continues to cover for comey's shenanigans,negative_surprise,"[[""continues to cover for comey's shenanigans""]]",continues to cover for comey's shenanigans,7,18,8
3865,"parents couldnand#039;t afford a wheelchair, so they turned to a high school robotics team",negative_surprise,"[[""couldnand#039"",""t afford a wheelchair, so they turned to a high school robotics team"",""so they turned to a high school robotics team""]]",couldnand#039,2,6,8
1649,disturbing report reveals trump is allowing u.s. bomb parts to be built in saudi arabia — despite objections from congress,negative_surprise,"[[""built in saudi arabia""],[""allowing u.s. bomb parts to be built in saudi arabia""]]",built in saudi arabia,16,22,8
4247,masked antifa terrorists get tossed to the ground as they try to push past police line near white house,negative_anticipation_including_pessimism,"[[""try to push past police line near white house""]]",try to push past police line near white house,12,20,7
2155,cuomo: trump has 'fomented hatred' that led to 'el paso madman',anger,"[[""that led to 'el paso""]]",that led to 'el paso,13,20,0
1496,poland’s government is systematically silencing opposition voices,fear,"[[""systematically silencing opposition voices""]]",systematically silencing opposition voices,8,13,3
3719,ingeborg bachmann’s “malina” is the truest portrait of female consciousness since sappho,positive_anticipation_including_optimism,"[[""is the truest portrait of female consciousness since sappho""]]",is the truest portrait of female consciousness since sappho,14,25,9
4812,northern ireland police arrest 2 men in shooting death of journalist,shame,"[[""arrest 2 men in shooting death of journalist""]]",arrest 2 men in shooting death of journalist,6,13,13
4892,the republicans are dead to planet earth,disgust,"[[""are dead to planet earth""]]",are dead to planet earth,4,8,2
