,headline,dominant_emotion,cause,cause_span,start_index,end_index
743,iran says it will break uranium stockpile limit agreed on in nuclear deal,negative_anticipation_including_pessimism,"[[""uranium stockpile limit agreed on in nuclear deal"",""says it will break uranium stockpile limit agreed on in nuclear deal""]]",uranium stockpile limit agreed on in nuclear deal,7,15
1608,"accused utrecht shooter admits guilt, faces terror-related charges: dutch prosecutors",guilt,"[[""faces terror-related charges: dutch prosecutors""]]",faces terror-related charges: dutch prosecutors,9,17
1869,kottu roti: the street food that makes you feel like dancing,joy,"[[""the street food that makes you feel like dancing""]]",the street food that makes you feel like dancing,7,15
2105,proud father stands up for daughter with down syndrome,pride,"[[""stands up for daughter with down syndrome""]]",stands up for daughter with down syndrome,3,9
3555,iran urges europe to normalize economic ties with it or face consequences,positive_anticipation_including_optimism,"[[""normalize economic ties with it or face consequences""]]",normalize economic ties with it or face consequences,7,15
1200,trump in the uk: and you thought the american media were biased,negative_anticipation_including_pessimism,"[[""and you thought the american media were biased""]]",and you thought the american media were biased,7,17
4394,barack obama warns against a “circular firing squad” over ideological purity in politics,fear,"[[""warns against a “circular firing squad” over ideological purity in politics""]]",warns against a “circular firing squad” over ideological purity in politics,6,18
562,what the space age taught us: earth is the best planet out there,joy,"[[""earth is the best planet out there""]]",earth is the best planet out there,8,14
3642,west indies chasing 292 to beat new zealand: cricket world cup 2019 - live!,positive_anticipation_including_optimism,"[[""cricket world cup 2019 - live!""]]",cricket world cup 2019 - live!,14,20
571,"8chan is a megaphone for gunmen. ‘shut the site down,’ says its creator.",disgust,"[[""says its creator.""]]",says its creator.,19,22
921,airbnb’s anti-west bank policy shows why laws against bds matter,annoyance,"[[""against bds matter""]]",against bds matter,15,18
4962,emerging market stock funds suffer $3.8bn withdrawals,negative_surprise,"[[""funds suffer $3.8bn withdrawals""]]",funds suffer $3.8bn withdrawals,4,13
3117,california man who kept runaway teen in metal box at pot farm sentenced to 31 years in prison,guilt,"[[""runaway teen in metal box at pot farm sentenced to 31 years in prison""]]",runaway teen in metal box at pot farm sentenced to 31 years in prison,9,23
4181,pentagon: u.s. military operations killed 120 civilians in 2018,sadness,"[[""u.s. military operations killed 120 civilians in 2018""]]",u.s. military operations killed 120 civilians in 2018,5,15
4438,the us war on immigrants is a public health crisis,anger,"[[""public health crisis""]]",public health crisis,8,10
1962,a decline in capital investment reveals the false promise of trump’s tax bill,negative_surprise,"[[""false promise of trump’s tax bill""]]",false promise of trump’s tax bill,8,16
1887,newsletter: essential california week in review: a tragedy in gilroy,sadness,"[[""a tragedy in gilroy""]]",a tragedy in gilroy,13,18
1171,the week beyond mueller and trump,positive_anticipation_including_optimism,"[[""the week beyond mueller and trump""]]",the week beyond mueller and trump,1,9
3177,man jailed for beating wife claims he was victim of anti-semitic harassment,anger,"[[""victim of anti-semitic harassment""]]",victim of anti-semitic harassment,9,15
3702,federal judge dismisses charges against 3 white supremacists,positive_anticipation_including_optimism,"[[""charges against 3 white supremacists""]]",charges against 3 white supremacists,5,13
4268,sen. ron wyden demands answers from dhs and private intel firm over spying on anti-trump immigration protests,anger,"[[""spying on anti-trump immigration protests""]]",spying on anti-trump immigration protests,20,27
3386,south africa plans to deploy military to combat crime in violence-ridden city: officials,positive_anticipation_including_optimism,"[[""combat crime in violence-ridden city: officials""]]",combat crime in violence-ridden city: officials,10,18
4391,an alarming kids’ health report shows cities must act now on traffic pollution,negative_surprise,"[[""an alarming kids’ health report shows cities must act now on traffic pollution"",""health report shows cities must act now on traffic pollution""]]",an alarming kids’ health report shows cities must act now on traffic pollution,1,15
4117,rep. ilhan omar calls overcrowding at el paso border ‘a reflection of white nationalism’,sadness,"[[""el paso border ‘a reflection of white nationalism’""]]",el paso border ‘a reflection of white nationalism’,13,24
1053,liz cheney goes all-in on trump’s racism: meet the future of the gop,disgust,"[[""goes all-in on trump’s racism: meet the future of the gop""]]",goes all-in on trump’s racism: meet the future of the gop,6,23
1048,liberals are using rep. ilhan omar as an excuse to chill speech,annoyance,"[[""excuse to chill speech"",""liberals are using rep. ilhan omar as an excuse to chill speech""]]",excuse to chill speech,14,17
1073,new hampshire republicans to corey lewandowski: stay away from the senate,negative_anticipation_including_pessimism,"[[""stay away from the senate""]]",stay away from the senate,15,19
3925,iraq combat veteran: pardon of war criminals sends disturbing message to u.s. military,negative_anticipation_including_pessimism,"[[""iraq combat veteran: pardon of war criminals sends disturbing message to u.s. military""]]",iraq combat veteran: pardon of war criminals sends disturbing message to u.s. military,1,19
471,mario lopez attacked for saying parents shouldn't let their children choose genders,anger,"[[""for saying parents shouldn't let their children choose genders"",""saying parents shouldn't let their children choose genders""]]",for saying parents shouldn't let their children choose genders,7,18
1345,"2020 candidates’ 404 pages, ranked by cringe factor",positive_anticipation_including_optimism,"[[""cringe factor""]]",cringe factor,9,12
1485,netflix vows to work with aclu in fight against draconian georgia anti-abortion law,positive_surprise,"[[""vows to work with aclu in fight against draconian georgia anti-abortion law""]]",vows to work with aclu in fight against draconian georgia anti-abortion law,4,24
316,"one year after car crash at the memorial, bud cauley is staging a remarkable comeback",positive_surprise,"[[""staging a remarkable comeback""]]",staging a remarkable comeback,16,19
2045,france warns un against unilateral path to mideast peace,fear,"[[""mideast peace""]]",mideast peace,11,14
2117,honor the fallen: two u.s. soldiers killed in afghanistan,sadness,"[[""two u.s. soldiers killed in afghanistan""]]",two u.s. soldiers killed in afghanistan,5,16
679,beto 2.0: campaign hires obama mvp for delegate hunt,joy,"[[""campaign hires obama mvp for delegate hunt""]]",campaign hires obama mvp for delegate hunt,7,18
179,trump gets an ‘f’ for libya,anger,"[[""‘f’ for libya""]]",‘f’ for libya,5,11
4821,the drug war's hidden foster care crisis,shame,"[[""drug war's hidden foster care crisis""]]",drug war's hidden foster care crisis,2,9
360,‘american taliban’ to be released from prison thursday,positive_surprise,"[[""to be released from prison thursday""]]",to be released from prison thursday,9,16
4944,lawmakers think facebook is trying to start a bank. walmart tried that—and failed.,negative_anticipation_including_pessimism,"[[""start a""]]",start a,9,10
347,twitter bans ‘dehumanizing language’ against religions,disgust,"[[""bans ‘dehumanizing language’ against religions""]]",bans ‘dehumanizing language’ against religions,4,13
396,atheist group complains 'god bless america' is said at elementary school after daily pledge. district quickly falls in line.,disgust,"[[""'god bless america' is said at elementary school after daily pledge. district quickly falls in line.""]]",'god bless america' is said at elementary school after daily pledge. district quickly falls in line.,6,28
2983,cbs’s garrett admires ‘ferocity’ of ‘bold’ sanders and warren,pride,"[[""‘ferocity’ of ‘bold’ sanders and warren""]]",‘ferocity’ of ‘bold’ sanders and warren,11,24
4834,college kowtows to students saying ‘free speech harms’,anger,"[[""‘free speech harms’""]]",‘free speech harms’,9,14
1670,hot chip hones the meaning of ‘ecstasy’,negative_surprise,"[[""meaning of ‘ecstasy’""]]",meaning of ‘ecstasy’,6,10
3002,cnn’s king primes dem voters: it’s not ‘impossible’ for far-left candidate to win 2020,positive_anticipation_including_optimism,"[[""it’s not ‘impossible’ for far-left candidate to win 2020""]]",it’s not ‘impossible’ for far-left candidate to win 2020,11,25
1417,"flooding in baton rouge: streets closed, cars stuck, some buildings take on water",sadness,"[[""streets closed, cars stuck, some buildings take on water""]]","streets closed, cars stuck, some buildings take on water",9,19
4216,common slams u.s. women's soccer critics: 'the whole country has been sexist',anger,"[[""the whole country has been sexist""]]",the whole country has been sexist,15,21
1766,the dccc is trying to put me out of business — and i’m a democrat.,negative_surprise,"[[""trying to put me out of business""]]",trying to put me out of business,6,12
1715,netanyahu wants israel to name new town on golan heights after trump,trust,"[[""new town on golan heights after trump""]]",new town on golan heights after trump,10,18
1268,facebook will never strip away mark zuckerberg’s power,trust,"[[""mark zuckerberg’s power"",""will never strip away mark zuckerberg’s power""]]",mark zuckerberg’s power,7,13
1335,‘italy’s trump’ launches a nationalist campaign to destroy europe,negative_surprise,"[[""launches a nationalist campaign to destroy europe""]]",launches a nationalist campaign to destroy europe,9,16
3416,trump tweets bizarre parody video suggesting he'll be president 4eva,pride,"[[""bizarre parody video suggesting he'll be president 4eva""]]",bizarre parody video suggesting he'll be president 4eva,6,16
710,drivers should compare car insurance quotes before renewing the contract,anger,"[[""renewing the contract""]]",renewing the contract,8,11
920,"after 18 years, it is past time to face the truth about afghanistan",annoyance,"[[""it is past time to face the truth about afghanistan""]]",it is past time to face the truth about afghanistan,5,17
3163,i will not stay silent. our leaders are failing human rights.,disgust,"[[""i will not stay silent. our leaders are failing human rights.""]]",i will not stay silent. our leaders are failing human rights.,1,13
1721,nuclear lobbying power: nj utility customers will pay $300m in subsidies,negative_anticipation_including_pessimism,"[[""nj utility customers will pay $300m in subsidies""]]",nj utility customers will pay $300m in subsidies,5,15
2425,"russia: militants in syria launch attack, have toxic agents",fear,"[[""militants in syria launch attack, have toxic agents""]]","militants in syria launch attack, have toxic agents",5,15
3750,pipeline opponents strike back against anti-protest laws,negative_surprise,"[[""strike back against anti-protest laws""]]",strike back against anti-protest laws,3,9
762,judiciary committee focuses on mueller report with pundit panel,trust,"[[""judiciary committee focuses on mueller report with pundit panel""]]",judiciary committee focuses on mueller report with pundit panel,1,13
2813,last night’s debate was a throwback to a darker time,negative_surprise,"[[""last night’s debate was a throwback to a darker time""]]",last night’s debate was a throwback to a darker time,1,13
2093,high street giant boots to ban plastic bags and replace them with brown paper carriers,positive_anticipation_including_optimism,"[[""high street giant boots to ban plastic bags and replace them with brown paper carriers""]]",high street giant boots to ban plastic bags and replace them with brown paper carriers,1,15
1521,ted cruz and alexandria ocasio-cortez join push for over-the-counter birth control,joy,"[[""over-the-counter birth control""]]",over-the-counter birth control,21,27
4473,management company admits breaking health and safety laws after woman was killed during storm doris,guilt,"[[""breaking health and safety laws after woman was killed during storm doris"",""woman was killed during storm doris""]]",breaking health and safety laws after woman was killed during storm doris,4,16
4032,"beer industry blames tariffs for 40,000 job losses",sadness,"[[""40,000 job losses""]]","40,000 job losses",9,13
3653,‘washed-up psycho’ and hollywood elite bette midler threatens trump with murder: “give him a shiv” — keeps her twitter account,fear,"[[""threatens trump with murder""]]",threatens trump with murder,18,22
4893,the “blood” in the impossible burger is a horror show,disgust,"[[""horror show""]]",horror show,12,13
2492,baroness trumpington leaves staff £500 in her will to throw a 'jolly good party',joy,"[[""staff £500 in her will to throw""]]",staff £500 in her will to throw,7,14
1445,illinois becomes 11th state to legalize weed,positive_surprise,"[[""legalize weed""]]",legalize weed,8,10
1776,this editorial cartoon satirizing trump’s cruel border policy deemed too hot for canadian publisher,negative_surprise,"[[""trump’s cruel border policy deemed too hot for canadian publisher""]]",trump’s cruel border policy deemed too hot for canadian publisher,7,21
3422,un: 2 million somalis could die of starvation amid drought,sadness,"[[""2 million somalis could die of starvation amid drought""]]",2 million somalis could die of starvation amid drought,3,13
1954,the 5 best songs of the week to listen to now,joy,"[[""of the week to listen to now""]]",of the week to listen to now,5,11
3789,trump claims he doesn’t know about any other investigations into his campaign,annoyance,"[[""claims he doesn’t know about any other investigations into his campaign""]]",claims he doesn’t know about any other investigations into his campaign,3,15
3233,the trouble starts if facebook’s new currency succeeds,negative_anticipation_including_pessimism,"[[""new currency succeeds""]]",new currency succeeds,9,11
2235,"a mural quoting trump at his most profane is protected speech, judge rules",anger,"[[""a mural quoting trump at his most profane is protected speech""]]",a mural quoting trump at his most profane is protected speech,1,16
2792,"health apps can share your data everywhere, new study shows",negative_surprise,"[[""can share your data everywhere, new study shows""]]","can share your data everywhere, new study shows",3,11
1580,"washington, montana, vermont top new list for most ufo sightings",joy,"[[""top new list for most ufo sightings""]]",top new list for most ufo sightings,10,18
2566,spy-satellite images reveal how climate change is rapidly melting the himalayan glaciers,negative_surprise,"[[""rapidly melting the himalayan glaciers""]]",rapidly melting the himalayan glaciers,10,16
1992,no. 3 house democrat says he believes trump will eventually be impeached,negative_anticipation_including_pessimism,"[[""trump will eventually be impeached""]]",trump will eventually be impeached,10,17
2276,even college students call millionaire bernie sanders a ‘hypocrite’,disgust,"[[""call millionaire bernie sanders a ‘hypocrite’""]]",call millionaire bernie sanders a ‘hypocrite’,4,19
2467,rubio trashes ilhan omar for blaming u.s. for venezuelan problems,disgust,"[[""blaming u.s. for venezuelan problems""]]",blaming u.s. for venezuelan problems,10,22
1612,"amazon prime day and the psychology of sales, explained",trust,"[[""day and the psychology of sales, explained"",""amazon prime day and the psychology of sales, explained""]]","day and the psychology of sales, explained",5,12
276,gamer raises nearly $1 million for st. jude childrenand#039;s research hospital in just 4.5 hours,annoyance,"[[""million""]]",million,7,7
904,#kutoo is the japanese movement against wearing high heels,annoyance,"[[""wearing high heels""]]",wearing high heels,12,14
2186,thousands march in romanian capital’s pride parade,pride,"[[""romanian capital’s pride parade""]]",romanian capital’s pride parade,4,11
4906,record flooding along arkansas and mississippi rivers puts crops and levees at risk,fear,"[[""mississippi rivers""],[""and""],[""flooding along arkansas and mississippi rivers""]]",mississippi rivers,9,13
721,former canadian ag taped conversation of trudeau official pressuring her to interfere in legal case,negative_surprise,"[[""former canadian ag taped conversation of trudeau official pressuring her to interfere in legal case""]]",former canadian ag taped conversation of trudeau official pressuring her to interfere in legal case,1,21
665,"antisemitic incidents surge in berlin with over 1,000 cases in 2018",negative_surprise,"[[""antisemitic incidents surge""]]",antisemitic incidents surge,1,6
1701,looks like donald trump’s longtime accounting firm is selling him out to house democrats,negative_surprise,"[[""accounting firm is selling him""]]",accounting firm is selling him,10,14
319,raaf pilots are taught to think of women during bombing operations,positive_surprise,"[[""women during bombing operations"",""think of women during bombing operations""]]",women during bombing operations,10,13
205,‘i can’t think of one thing’: lindsey graham gives four reasons why the idea that trump obstructed justice is ‘absurd’,anger,"[[""obstructed justice is ‘absurd’""]]",obstructed justice is ‘absurd’,27,35
3435,woman pays dinner bill for group of teens on prom night,positive_surprise,"[[""group of teens on prom night""]]",group of teens on prom night,6,12
4360,"we need a new patriotism, one that embraces dissent",positive_anticipation_including_optimism,"[[""one that embraces dissent""]]",one that embraces dissent,9,14
4401,earthquake: 4.1 quake strikes near ridgecrest,fear,"[[""4.1 quake strikes near ridgecrest""]]",4.1 quake strikes near ridgecrest,3,13
2290,i'm a celebrity queen georgia toffolo 'dating' shamed banker and ex-farage aide,shame,"[[""ex-farage aide""]]",ex-farage aide,20,24
4161,young girl's disappearance still unsolved 16 years after she vanished while walking to bus stop,sadness,"[[""unsolved""],[""disappearance still unsolved""]]",unsolved,7,9
4629,when john paul stevens eviscerated antonin scalia,negative_surprise,"[[""when john paul stevens eviscerated antonin scalia""]]",when john paul stevens eviscerated antonin scalia,1,20
4046,"dhs head says 'fewer than 1,000' kids recently separated, like it's something to be proud of",disgust,"[[""'fewer than 1,000' kids recently separated, like it's something to be proud of"",""fewer than 1,000' kids recently separated""]]","'fewer than 1,000' kids recently separated, like it's something to be proud of",5,24
4671,grateful mom donates 120 dresses to high school for senior ball,positive_surprise,"[[""donates 120 dresses to high school for senior ball""]]",donates 120 dresses to high school for senior ball,3,12
2143,"videos showed chaos, gunfire at baton rouge nightclub where 7 were injured in shooting",fear,"[[""chaos, gunfire at Baton Rouge nightclub""]]","chaos, gunfire at baton rouge nightclub",3,12
2489,antifa is a domestic terror group,fear,"[[""domestic terror group""]]",domestic terror group,5,7
1626,bloomberg: huawei equipment in italy had security backdoors,trust,"[[""huawei equipment in italy had security backdoors""]]",huawei equipment in italy had security backdoors,5,16
1782,trump says he'd vouch for a$ap rocky amid growing demands for the rapper's release,positive_surprise,"[[""he'd vouch for a$ap rocky amid growing demands for the rapper's release"",""amid growing demands for the rapper's release""]]",he'd vouch for a$ap rocky amid growing demands for the rapper's release,4,24
3506,'chernobyl' brings the horror of the nuclear disaster to life,fear,"[[""the nuclear disaster to life""]]",the nuclear disaster to life,11,15
152,the decline of our nation’s generals,negative_surprise,"[[""the decline of our nation’s generals""]]",the decline of our nation’s generals,1,8
625,utah judge disparaged president trump from the courtroom. now he's paying the price.,annoyance,"[[""the""]]",the,12,12
2361,trump’s racist comments have spawned violent threats against lawmakers of color,anger,"[[""racist comments have spawned""]]",racist comments have spawned,5,8
2715,you’ve heard stories of indian army and air force heroes. now here’s an angel from the navy,positive_anticipation_including_optimism,"[[""now here’s an angel from the navy""]]",now here’s an angel from the navy,15,23
1136,senior palestinian official denied us visa,negative_surprise,"[[""denied us visa""]]",denied us visa,6,8
1273,"in town for tel aviv pride, neil patrick harris says he’s no gay icon",disgust,"[[""he’s no gay icon""]]",he’s no gay icon,19,24
846,the senate is hollowing out the united states’ diplomatic corps,negative_surprise,"[[""hollowing out the united states’ diplomatic corps""]]",hollowing out the united states’ diplomatic corps,4,12
2542,murkowski celebrates birthday with electric scooter ride,joy,"[[""birthday with electric scooter ride""],[""celebrates birthday""]]",birthday with electric scooter ride,5,11
1886,"netanyahu, gantz, and five scenarios for the israeli election",positive_anticipation_including_optimism,"[[""netanyahu, gantz, and five scenarios for the israeli election""]]","netanyahu, gantz, and five scenarios for the israeli election",1,17
3997,control tower at sydney airport is evacuated after smoke was detected,negative_surprise,"[[""smoke was detected""]]",smoke was detected,11,13
3665,alabama senate votes to virtually eliminate tourism to alabama,negative_surprise,"[[""virtually eliminate tourism to alabama""]]",virtually eliminate tourism to alabama,7,13
4823,trump’s latest threat risks prolonging trade war,negative_anticipation_including_pessimism,"[[""risks prolonging trade war"",""latest threat risks prolonging trade war""]]",risks prolonging trade war,7,12
2509,eating fish may help city kids with asthma breathe better,positive_anticipation_including_optimism,"[[""help city kids with asthma breathe better""]]",help city kids with asthma breathe better,4,12
1897,radical islamists have opened a new front in mali,negative_anticipation_including_pessimism,"[[""have opened a new front in mali""]]",have opened a new front in mali,5,12
817,revenge of the machine: new york party bosses rally to melinda katz in pivotal prosecutor race,anger,"[[""pivotal prosecutor race""]]",pivotal prosecutor race,19,21
2152,road ahead: pressure rising for debt limit deal,trust,"[[""pressure rising for debt limit deal""]]",pressure rising for debt limit deal,4,9
1444,"if classrooms are “free of politics,” the right wing will grow",positive_anticipation_including_optimism,"[[""if classrooms are “free of politics,” the right wing will grow""]]","if classrooms are “free of politics,” the right wing will grow",1,14
3374,poll: democrats increasingly think doj meddled in mueller probe,negative_surprise,"[[""think doj meddled in mueller probe""]]",think doj meddled in mueller probe,6,15
4992,vatican envoy: nicaraguan government says talks 'concluded',negative_surprise,"[[""talks 'concluded""]]",talks 'concluded,13,15
4938,"tariff temper tantrum: trump ""created a fake crisis & has announced a fake solution"" with mexico",negative_anticipation_including_pessimism,"[[""\\""created a fake crisis & has announced a fake solution\\""\\"" with mexico\\""""]]","""created a fake crisis & has announced a fake solution"" with mexico",10,25
4138,the aftermath of deadly tornadoes in missouri,sadness,"[[""the aftermath of deadly tornadoes in missouri""]]",the aftermath of deadly tornadoes in missouri,1,9
1571,us declining interest in history presents risk to democracy,negative_anticipation_including_pessimism,"[[""declining interest in history presents risk to democracy""]]",declining interest in history presents risk to democracy,2,9
4350,the troubling legacy of martin luther king,negative_surprise,"[[""troubling legacy of martin luther king""]]",troubling legacy of martin luther king,2,13
322,saudi arabia plans to let women leave the country without the permission of a man,positive_surprise,"[[""leave the country without the permission of a man""]]",leave the country without the permission of a man,10,18
702,democrats hit trump’s trans-troop ban as it takes effect,anger,"[[""hit trump’s trans-troop ban as it takes effect""]]",hit trump’s trans-troop ban as it takes effect,3,15
234,trump signs bill ensuring 9/11 victims fund will never run out of money,positive_anticipation_including_optimism,"[[""signs bill ensuring 9/11 victims fund will never run out of money""]]",signs bill ensuring 9/11 victims fund will never run out of money,3,16
3579,"more children around the world are being taught in english, often badly",positive_surprise,"[[""being taught in english, often badly""]]","being taught in english, often badly",7,15
1357,aoc wants to kill the department of homeland security. libertarians have a plan for that.,fear,"[[""libertarians have a plan for that""]]",libertarians have a plan for that,12,20
1280,lyon bomb suspect had pledged allegiance to is,trust,"[[""had pledged allegiance to is""]]",had pledged allegiance to is,5,9
4091,maurice mitchell wants you to do more than vote,positive_anticipation_including_optimism,"[[""wants you to do more than vote""]]",wants you to do more than vote,7,13
1414,federal reserve lowers interest rates for the first time since the 2008 recession,positive_surprise,"[[""lowers interest rates for the first time since the 2008 recession""]]",lowers interest rates for the first time since the 2008 recession,3,14
4578,massive crater in german cornfield likely caused by exploding wwii bomb,negative_surprise,"[[""exploding wwii bomb""]]",exploding wwii bomb,11,15
2524,"hillary clinton and lanny davis tried to establish a secret back channel to israel, classified emails reveal",negative_surprise,"[[""a secret back channel to israel, classified emails reveal""]]","a secret back channel to israel, classified emails reveal",14,25
288,india launches historic mission to the moon,positive_surprise,"[[""historic mission to the moon""]]",historic mission to the moon,4,8
2698,kit harington’s brother had the best jon snow joke during his best man speech,joy,"[[""brother had the best jon snow joke during his best man speech""]]",brother had the best jon snow joke during his best man speech,6,18
1560,trump's labor secretary insists sweetheart deal for billionaire predator was for the best,positive_surprise,"[[""deal for billionaire predator was for the best""]]",deal for billionaire predator was for the best,9,16
4802,google takes action against whistleblower who called out political bias,negative_anticipation_including_pessimism,"[[""takes action against whistleblower who called out political bias""]]",takes action against whistleblower who called out political bias,4,15
3671,bill cosby settles defamation lawsuits with seven female accusers,shame,"[[""defamation lawsuits with seven female accusers"",""bill cosby settles defamation lawsuits with seven female accusers""]]",defamation lawsuits with seven female accusers,6,16
1513,security firms see spike in iranian cyberattacks,negative_anticipation_including_pessimism,"[[""security firms see spike in iranian cyberattacks"",""see spike in iranian cyberattacks""]]",security firms see spike in iranian cyberattacks,1,14
116,rare-earths mining shows exactly how china cheats the united states through ‘free trade’,negative_anticipation_including_pessimism,"[[""free trade""]]",free trade,18,19
2273,donald trump has deranged meltdown after everything goes wrong for him,anger,"[[""has deranged meltdown after everything goes wrong for him""]]",has deranged meltdown after everything goes wrong for him,5,16
630,yields on 10-year treasury note settle below 2% ahead of u.s.-china trade meeting,negative_surprise,"[[""settle below 2% ahead of u.s.-china trade meeting""]]",settle below 2% ahead of u.s.-china trade meeting,8,22
4787,"‘i don’t want to stay here’: half a million live in flood zones, and the government is paying",fear,"[[""live in flood""],[""the government is paying""]]",live in flood,15,17
4155,"volcano erupts on italian island of stromboli, kills one person",sadness,"[[""stromboli, kills one person""],[""volcano erupts on italian island""]]","stromboli, kills one person",11,18
3760,saudi arabia executes 37 prisoners for terrorism crimes,negative_surprise,"[[""37 prisoners for terrorism crimes"",""executes 37 prisoners for terrorism crimes""]]",37 prisoners for terrorism crimes,8,12
4734,afghanistan war: this is the human cost,sadness,"[[""this is the human cost""]]",this is the human cost,7,11
4490,fortnite world cup: 15-year-old brit jaden ashman wins million dollar prize,joy,"[[""wins million dollar prize""]]",wins million dollar prize,19,22
1087,openly gay democratic presidential candidate wants to 'broker that peace deal' with chick-fil-a,negative_anticipation_including_pessimism,"[[""broker that peace deal' with chick-fil-a""]]",broker that peace deal' with chick-fil-a,9,20
1476,"more leftist infighting: black feminist panel barred from speaking, accused of transphobia",anger,"[[""accused of transphobia""]]",accused of transphobia,14,18
3003,"eia forecasts 2019 wti oil average of $58.80/bbl, up 4.8% from previous view",positive_anticipation_including_optimism,"[[""oil average""],[""$58.80/bbl, up 4.8% from previous""]]",oil average,8,9
3333,here we go again: gillibrand revives the tired “war on women” trope,anger,"[[""war on women” trope""]]",war on women” trope,15,21
2994,inmates rescue baby locked inside car,pride,"[[""rescue baby locked inside car""]]",rescue baby locked inside car,2,6
